Hormone,Precision,Recall,Accuracy,F1-score,# pairs
aldosterone,0.75,0.6,0.625,0.6666666666666665,8
angiotensin,0.5,0.42857142857142855,0.4166666666666667,0.4615384615384615,12
calcitonin,1.0,1.0,1.0,1.0,6
cholecystokinin,1.0,0.5,0.5,0.6666666666666666,2
cortisol,0.5,0.3333333333333333,0.25,0.4,8
erythropoietin,1.0,1.0,1.0,1.0,2
estrogen,0.5945945945945946,0.7096774193548387,0.6756756756756757,0.6470588235294118,74
glucagon,0.9,0.6428571428571429,0.7,0.75,20
insulin,0.696969696969697,0.7666666666666667,0.7424242424242424,0.7301587301587302,198
leptin,0.6,0.42857142857142855,0.4,0.5,10
melatonin,1.0,1.0,1.0,1.0,2
peptide yy,1.0,1.0,1.0,1.0,2
progesterone,0.7333333333333333,0.7857142857142857,0.7666666666666667,0.7586206896551724,30
prostaglandins,0.5333333333333333,0.5,0.5,0.5161290322580646,30
relaxin,1.0,1.0,1.0,1.0,2
testosterone,0.6,0.6666666666666666,0.65,0.631578947368421,20
adrenocorticotropin,1.0,1.0,1.0,1.0,4
thyrotropin-releasing hormone,1.0,1.0,1.0,1.0,2
gonadotropin-releasing hormone,0.5,0.5,0.5,0.5,4
vascular endothelial growth factor,0.5714285714285714,0.8571428571428571,0.7380952380952381,0.6857142857142857,84
norepinephrine,0.7777777777777778,0.875,0.8333333333333334,0.823529411764706,18
adiponectin,1.0,1.0,1.0,1.0,6
a-type natriuretic peptide,1.0,0.5,0.5,0.6666666666666666,2
adrenaline/epinephrine,0.875,0.7,0.75,0.7777777777777777,16
estradiol/oestradiol,0.5172413793103449,0.4838709677419355,0.4827586206896552,0.5000000000000001,58
somatotrophin/growth hormone,0.7272727272727273,0.8,0.7727272727272727,0.761904761904762,22
parathyroid hormone/parathyrin,1.0,0.6,0.6666666666666666,0.7499999999999999,6
serotonin/5-hydroxytryptamine,0.875,0.9333333333333333,0.90625,0.9032258064516129,32
vitamin d/calciferol,0.8333333333333334,0.7692307692307693,0.7916666666666666,0.8,24
follicle-stimulating hormone/follitropin,0.8,0.5,0.5,0.6153846153846154,10
antidiuretic hormone/vasopressin,1.0,0.75,0.8333333333333334,0.8571428571428571,6
thymosin,0.6666666666666666,1.0,0.8333333333333334,0.8,6
