Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hypertensive disease	229/1310	2.4376292629172303E-46	2.395702039595054E-42	0	0	2.703931327228825	283.9881974727705	PNMT;APP;NUDT1;MLC1;SLC4A1;AQP4;ENO1;AQP2;SLC4A4;SLC4A5;AQP1;LIPC;CHEK2;ENTPD2;SLC6A18;HNF1A;NISCH;ACE2;SCN10A;KCNQ1;MYL3;HMBS;AGTR1;TXNIP;TFAM;AGTR2;CLOCK;SLC22A4;SLC22A3;SLC22A6;GYPA;ABCB1;SLC22A5;ABCB6;SLC22A2;WNK4;TXN;SLC5A2;APOE;PPARGC1A;ACE;MTHFR;EIF2AK4;TH;WNK3;PDE3A;NOX4;REN;CALR;SLC22A8;ADA;RYR2;OGG1;ADM;IDE;SLC6A2;SLC6A3;SLC6A4;SLC22A12;HNF4A;PARP1;ARG1;MMD;SLC2A10;SLC2A12;SLC39A12;SIRT3;GAL;ADRB3;AVP;PPARA;DLD;IDUA;UCP1;KCNA3;KCNA5;SLC7A1;PDC;NPS;ATP5F1B;NPW;UCP3;UCP2;LMNA;MFN2;DMD;XDH;ATP5PF;CDKN2B;MDH1;GCH1;RNLS;CDKN2A;SLC31A1;GCK;AGT;OTC;EPO;CPOX;COMT;SLC8A1;RGS2;NPPA;ADORA1;ENPP1;SLC39A8;PDE8B;CAST;G6PD;G6PC;S100A1;DIO2;CYBB;TAP1;CDKAL1;SDHC;CYBA;ATP1B1;SDHB;PGF;COL4A1;PPIG;PPIA;CACNA1D;ADRB1;NREP;CACNA1C;ADRB2;CACNA1H;SLC9A1;DPP4;GRK2;GRK5;GRK4;DRD1;DRD2;DRD3;BDNF;AGXT2;GOT2;ADA2;QDPR;SLC2A9;GCLC;CYP11B2;FES;NF1;GNB3;SLC26A4;GSK3B;UCN;SLC25A3;CPQ;PDE3B;SLC2A1;ATP2A2;SLC2A2;OXT;MTR;ADRA1D;SLC2A3;HMGB1;TRH;SLC2A4;DBH;ADRA1B;SLC2A5;ADRA1A;SLC2A6;PPP1R9B;ALAD;DBP;OPA1;ALDH2;NOS1;ATP7A;SLC37A4;SLC36A1;ABCC4;MYOCD;ABCC1;TBP;PDE4D;CAD;ATP6AP2;ABCC6;ABCC9;ADRA2C;NGF;ADRA2B;APOA5;ADRA2A;PKM;ADORA2A;DDAH1;ADORA2B;DDAH2;CAT;CRH;CASQ2;PDE5A;FXN;MYH7;CRP;SLC3A2;ATP1A2;RETN;ATP1A1;ADD1;INS;ADD2;PLN;IGF2BP2;KCNJ1;KCNJ5;TCF7L2;KCNJ8;KCNJ11;NOS2;NOS3;BAD;ATP2B3;ATP2B2;ATP2B1;SOD2;APLN;SLC4A7;VIP;KCNK3
Congestive heart failure	170/884	1.7614703827938135E-39	8.6558654610488E-36	0	0	2.974596942114344	265.437175684866	PNMT;EPO;SLC8A1;SLN;PRKACG;CHEK2;NPPA;NAMPT;PDK4;ENPP1;SYBU;KCNH2;CAST;G6PD;S100A1;CYBB;ATP11A;SDHD;SDHB;PGF;ACE2;ACLY;PPA1;KCNQ1;MAPKAPK2;AGTR1;SLC27A6;TFAM;AGTR2;PPIG;PDE9A;ABCG2;TPH2;KCNE1;ABCB1;SLC22A5;CNP;ADRB1;PSEN1;TXN;ADRB2;SLC9A1;DPP4;GRK3;GRK2;GRK5;APOE;PCK1;MSC;PPARGC1A;TRPM4;FDPS;ACE;BDNF;AGXT2;CP;MANF;CS;SLC6A8;CTRL;TH;CYP11B2;PDE3A;NOX4;PIN1;GNB3;REN;CALR;OGT;NES;ADA;GSK3B;RYR2;SLC2A1;PRKAG2;ATP2A2;ATP2A1;ADM;HMGB1;DBH;SLC2A4;SLC6A2;SLC6A4;CPT2;OPA1;ALDH2;UCN2;NNT;IDS;SCN5A;NOS1;MYBPC3;DSP;MYOCD;PARP1;DCD;ARG1;SLC2A10;ABCC8;CAD;ABCC6;AMPD1;HBA2;ABCC9;HBA1;OPRM1;ADRA2C;NGF;SIRT1;SIRT3;TRDN;ADORA2A;ADRB3;ADORA2B;NDUFS6;TNNT2;CAT;NOS1AP;CASQ2;ANG;PDE5A;AVP;DNASE1;PPARA;FXN;GAPDH;MYH7;CRP;SLC24A3;POLDIP2;KCNA3;UCP1;NEXN;ATP1A3;SLC3A2;RETN;SLC7A1;ADD1;PDC;INS;SLC25A26;ATP5F1A;PLN;POLR2A;UCP3;UCP2;LMNA;MFN2;DMD;XDH;KCNJ5;NOS2;RNLS;BAD;LUM;NOS3;S100B;SOD2;AGT;TPCN2;APLN;TPCN1;PINK1;GATM;SCD;ADM2;GPD1L;CRAT;KCNK2;HCN2
Heart failure	161/815	7.320688853039033E-39	2.398257668255587E-35	0	0	3.055622772930219	268.31458463583795	EPO;AQP2;SLC8A1;LIPC;SLN;PRKACG;CHEK2;NPPA;NAMPT;PDK4;ENPP1;SYBU;KCNH2;CAST;G6PD;SLC30A3;S100A1;CYBB;SDHD;SDHB;PGF;NISCH;ACE2;ACLY;PPA1;MAPKAPK2;AGTR1;SLC27A6;TFAM;AGTR2;PPIG;PDE9A;ABCG2;KCNE1;ABCB1;SLC22A5;CNP;ADRB1;PSEN1;TXN;ADRB2;SLC9A1;DPP4;GRK3;GRK2;GRK5;APOE;PCK1;MSC;PPARGC1A;TRPM4;FDPS;ACE;BDNF;CP;MANF;CS;SLC6A8;TH;CYP11B2;PDE3A;NOX4;PIN1;GNB3;REN;CALR;OGT;NES;GSK3B;RYR2;SLC2A1;PRKAG2;ATP2A2;ATP2A1;ADM;HMGB1;DBH;SLC2A4;SLC6A2;SLC6A4;CPT2;OPA1;ALDH2;UCN2;NNT;IDS;SCN5A;NOS1;POLK;MYBPC3;DSP;MYOCD;PARP1;ARG1;SLC2A10;CAD;ABCC6;AMPD1;HBA2;ABCC9;HBA1;OPRM1;ADRA2C;NGF;SIRT1;SIRT3;ADORA2A;ADRB3;NDUFS6;TNNT2;CAT;NOS1AP;CASQ2;ANG;PDE5A;AVP;DNASE1;PPARA;FXN;MYH7;CRP;POLDIP2;UCP1;NEXN;ATP1A3;SLC3A2;RETN;SLC7A1;ADD1;PDC;INS;SLC25A26;ATP5F1A;PLN;POLR2A;UCP3;UCP2;LMNA;MFN2;DMD;XDH;KCNJ5;TCF7L2;NOS2;RNLS;BAD;LUM;NOS3;ATP2B1;S100B;SOD2;AGT;TPCN2;APLN;TPCN1;PINK1;GATM;SCD;GPD1L;KCNK2;HCN2
Epilepsy	200/1177	2.387609461947708E-38	5.866356448005518E-35	0	0	2.6283609344085956	227.68949567277366	APP;SLC46A1;GLDC;MLC1;AQP4;SLC4A3;AQP2;AQP1;PCMT1;SCN1B;EARS2;SCN1A;ARSA;PDHX;NPFF;HNF1A;SCN10A;KCNQ1;HMBS;KCNQ5;HPD;ABCB1;ABCB6;SLC5A1;DGUOK;TRPM2;SLC19A3;ASL;APOE;PCK1;TREX1;MTHFR;SMARCA2;MANF;AIMP1;GLUD1;GJB2;SLC6A8;TH;SLC6A9;TDP2;GJB3;PAH;REN;SCN2B;RYR2;PIGT;ADK;SLC35F1;SLC6A1;ATIC;KCNT1;HNF4A;TSPO;IDS;TK2;NELFA;SLC32A1;ARG1;AMPD2;SIRT1;BACE1;GAL;IVD;MAPT;DLD;TOMM40;KCNA2;ODC1;KCNA3;UCP1;PTS;PURA;ATP5F1A;UCP2;SLC17A6;DMD;SLC17A7;GABRD;GK;PET100;GCH1;GAD1;NDE1;GCK;NMNAT1;OTC;ATP8A2;NDUFA10;PARK7;COMT;KCNH2;CADPS2;SDHD;SDHA;DPM2;PREPL;COL4A1;PPIG;PPIA;ABCG2;ATP6V1A;KCNE1;COX15;SLC1A2;CACNA1A;CACNA1D;PSEN1;CPLX1;CACNA1H;SLC9A1;CACNA1G;NDP;NDUFV2;DRD2;NDUFV1;COX10;EIF2B5;PRNP;EIF2B2;BDNF;WFS1;IDH1;NONO;IDH2;SLC4A10;ADA2;GFAP;QDPR;SLCO1A2;TPP1;NES;SLC25A1;SLC2A1;ATP2A2;MTR;ADRA1D;HMGB1;TRH;DBH;CPT2;ALDH2;GMPPA;ATP7A;ABCD1;POLG;ABCC1;TBP;ABCC8;ABCC5;ATP6AP2;AMT;OPRM1;NGF;ADRA2B;ADRA2A;DNM1;TRDN;NDUFS7;NDUFS6;NDUFS4;CASQ2;NDUFS1;SLC25A12;NAT8L;ASPA;NDUFB9;PRPS1;MVP;NDUFB3;ATP1A3;ATP1A2;MFF;INS;SLC25A21;SLC25A20;CACNG2;KCNJ1;SLC25A22;SLC35A2;KCNJ10;SLC35A3;KCNJ11;KCNJ13;NDUFA2;ZNF804A;S100B;SOD2;GALC;BCKDK;PINK1;PC;SUCLA2;PDE10A;IMPDH1;VIM;KCNK2;KCNK3;HCN2;HCN1
Diabetes Mellitus, Non-Insulin-Dependent	247/1672	4.544862035501572E-37	8.933380816981889E-34	0	0	2.2850312873514733	191.2151908695195	APP;AQP9;AQP7;AQP2;LIPC;CHEK2;NAMPT;PDK4;SCN1B;PDK2;PDHX;ENTPD1;KCNK16;HNF1A;CEL;NISCH;ACE2;KEL;MTHFD1;KCNQ1;HMBS;AGTR1;ACOT2;TXNIP;TFAM;AGTR2;CLOCK;SLC22A3;ABCB1;RRAD;SLC22A2;SLC22A1;SLC5A1;TXN;SLC30A10;SLC5A2;SLC6A20;TRPM2;SI;APOE;HCRT;PCK1;PPARGC1A;HLA-DQA1;SLC19A2;TRPM4;HLA-DRB5;ACD;ACE;MTHFR;CP;STAR;REL;REN;ADA;MRS2;RYR2;OGG1;PRKAG2;ADM;IDE;SLC6A2;SLC6A4;SLC22A12;HNF4A;CD38;CAMP;SLC2A11;PARP1;SLC2A10;GAA;PAX4;SLC39A10;SIRT6;HBA1;SIRT1;SIRT2;SIRT3;BACE1;PSMA6;BACE2;KCNU1;ADRB3;AVP;PPARA;HLA-DQB1;TOMM40;UCP1;KCNA3;UCP3;UCP2;LMNA;MFN2;DMD;STX4;PCNT;DISC1;BCHE;CDKN2B;GK;GCH1;RNLS;CDKN2A;GAD1;GCK;AGT;PER2;PER1;MPHOSPH9;ATP5PO;SLC27A1;EPO;MPI;COMT;ADORA3;NPPA;ADORA1;ENPP1;SLC39A7;HADH;SLC39A1;SLC39A3;SLC30A7;SLC30A6;G6PD;SLC30A8;G6PC;SLC30A5;DIO2;CDKAL1;SLC30A1;CYBA;CARTPT;SDHB;PGF;ACLY;PHOSPHO1;SELENOS;SLC27A6;PPIG;TOX;PPIA;SLC27A4;ABCG2;COPA;SLC41A2;SLC41A1;CACNA1D;CACNA1C;PSEN1;ADRB2;CACNA1E;ACACB;SLC1A7;CPLX1;SLC9A1;NEUROD1;DPP4;SLCO1B1;GRK2;NEUROD4;GRK5;SLCO1B3;MSC;DRD2;COX10;MPST;BDNF;AGXT2;WFS1;GOT2;ADA2;G6PC2;CDK5;CYP11B2;SLCO1A2;HLA-DRA;GNB3;OGT;GSK3B;SLC25A3;PDE3B;SLC2A1;ATP2A2;SLC2A2;MTR;DBI;HMGB1;TRH;SLC2A4;SLC2A5;ADRA1A;OASL;DBP;ALDH2;NOS1;ABCC8;CAD;ATP6AP2;SORD;DARS2;OPRM1;ADRA2B;APOA5;ADRA2A;TRDN;DDAH1;OAS1;ADORA2B;DDAH2;CAT;NOS1AP;BPI;DNASE1;FXN;GAPDH;CRP;POLDIP2;ATP10A;SLC3A2;RETN;PDHB;PARL;ADD1;INS;PLN;OXCT1;IGF2BP2;KCNJ1;KCNJ3;KCNJ4;TUB;TCF7L2;KCNJ6;KCNJ10;KCNJ11;NOS2;KCNJ9;NOS3;BAD;KCNJ15;SOD2;TPCN2;PINK1;PC;SCD;PFKM
Seizures	197/1174	5.924862377507238E-37	9.704924574356857E-34	0	0	2.5955511988943214	216.51177317446817	APP;SLC46A1;GLDC;MLC1;AQP4;AQP2;SCN1B;EARS2;SCN1A;ARSA;PDHX;NPFF;HNF1A;SCN10A;SCO2;KCNQ1;HMBS;HPD;ABCB1;ABCB6;DGUOK;SLC19A3;ASL;APOE;PCK1;ACE;TREX1;MTHFR;INO80;SMARCA2;AIMP1;GJB1;SLC6A8;CTRL;SLC6A9;TDP2;PAH;ACHE;RYR2;PIGT;ADK;ADM;SLC6A1;SLC6A2;SLC6A3;PANX1;ATIC;KCNT1;HNF4A;IDS;TK2;NELFA;ARG1;AMPD2;BACE1;GAL;IVD;MAPT;SLC29A1;DLD;TOMM40;KCNA2;KCNA3;PTS;RHD;PURA;ATP5F1A;UCP2;SLC17A7;GABRD;BCHE;GK;PET100;GCH1;MGMT;GAD1;NDE1;GCK;AGT;NMNAT1;TARDBP;OTC;ATP8A2;MPI;NDUFA10;CPOX;SLC8A1;KCNH2;SLC30A3;SLC30A1;SDHD;SDHA;DPM2;PREPL;COL4A1;AMPH;ADNP;SLC27A4;ATP6V1A;KCNE1;COX15;CHAT;SLC1A2;CACNA1A;CACNA1C;PSEN1;ADRB2;CPLX1;CACNA1H;CACNA1I;DRD1;NDP;NDUFV2;DRD2;NDUFV1;DRD3;COX10;EIF2B5;PRNP;EIF2B2;BDNF;WFS1;IDH1;NONO;IDH2;ADA2;GFAP;QDPR;CDK5;GNB3;TPP1;NES;SLC25A1;SLC2A1;ATP2A2;MTR;OXT;HMGB1;TRH;DBH;ADRA1B;ALAD;CPT2;GMPPA;SCN5A;NOS1;ATP7A;ABCD1;POLG;MYOCD;TBP;ABCC8;AMT;OPRM1;NGF;DNM1;TRDN;ADORA2A;NDUFS7;NDUFS6;CAT;NDUFS4;CRH;CASQ2;NDUFS1;SLC25A12;NAT8L;ASPA;NDUFB9;PRPS1;SLC24A1;NDUFB3;ATP1A3;ATP1A2;MFF;INS;SLC25A20;KCNJ1;SLC35A2;KCNJ10;SLC35A3;KCNJ11;NOS2;KCNJ13;NDUFA2;ZNF804A;S100B;SOD2;GALC;BCKDK;REST;PC;SUCLA2;PDE10A;IMPDH1;KCNK2;HCN1
Alzheimer's Disease	271/1982	7.442205737453768E-35	1.044885685538509E-31	0	0	2.1149354242318528	166.19862814460123	CDA;APP;PANK2;AQP4;ENO1;ENO2;AQP1;LIPC;PNP;TDO2;CHEK2;FBXO2;ANK3;MTHFD1;KCNQ1;AGTR1;TFAM;AGTR2;CLOCK;TPH2;GYPA;ABCB1;ABCB6;MAOB;SLC30A10;TRPM2;MAP2;PENK;SLC19A3;APOE;HCRT;PCK1;PPARGC1A;HMOX2;ABCA2;FIS1;HLA-DRB5;HLA-DRB4;ACE;EDEM2;EIF2AK3;EIF2AK2;MTHFR;EIF2AK4;CP;ATP4A;TH;ADI1;OGDH;REN;CALR;ACHE;RYR2;OGG1;ADM;IDE;SLC6A2;SLC6A3;SLC6A4;HNF4A;TSPO;CD38;PSD;SLC2A14;CLUH;SLC32A1;PARP1;SIRT5;SIRT1;SIRT2;SIRT3;BACE1;BACE2;GAL;SLC7A9;AVP;MAPT;PPARA;DLD;TOMM40;IDUA;ODC1;KCNA3;WAS;DLST;UNG;RHD;NPS;PURA;ATP5F1A;LMNA;MFN2;DMD;SLC17A7;CKB;BID;DISC1;LCMT1;BCHE;ATP5PF;ATP5PD;MOG;CDKN2A;SLC31A1;GAD1;NMNAT2;AGT;PER2;PER1;XK;TARDBP;OTC;EPO;MPI;CPOX;COMT;SLC8A1;PYCARD;RGS2;NPPA;LAMP2;HADH;PDE8B;PRND;SYBU;CAST;SLC30A6;CADPS2;SLC30A3;S100A1;SLC30A4;APLP1;TAP2;DIO2;CYBB;CDKAL1;SLC30A1;CARTPT;MAPKAPK2;PPIF;MAPKAPK5;AMPH;PPIG;ADNP;PPIB;PPIA;PPID;ABCG2;CNP;COX15;CHAT;ATP5MC2;SLC1A2;ADRB1;PSEN1;ADRB2;CPLX2;NTS;CPLX1;ATP5MC1;CACNA1G;DPP4;CALHM1;GRK2;MOBP;GRK5;BAG1;MBP;TPPP;DRD1;MSC;DRD2;DRD3;COX10;DRD4;MARK2;MARK1;FDPS;PRNP;BDNF;EEF2;GFAP;SLC2A9;RCAN1;CDK5;NACA;CYP11B2;FES;HLA-DRA;PIN1;GNB3;TPP1;OGT;NES;GSK3B;CPQ;LRRK2;TAT;DYSF;SLC2A1;SLC40A1;OXT;MTR;SLC2A3;HMGB1;SLC2A4;DBH;PPP1R9B;SLC2A8;POLB;ATP7B;ALDH2;CA2;PDE4A;LBP;NOS1;ATP7A;POLG;ABCC4;MYOCD;ABCC1;TBP;ABCC9;NGF;APOA5;ADRA2A;DNM1;GAP43;ADORA2A;DDAH1;CAT;CRH;NUMB;ANG;PDE5A;SLC25A4;FXN;GAPDH;MET;CRP;FOCAD;SLC24A4;POLDIP2;MVP;INS;SLC25A27;POLD1;SLC25A20;SNCB;SNCA;SLC35A2;SLC35A1;NDUFA6;NOS2;NOS3;S100B;SOD2;WARS2;SLC25A38;SLC4A8;PINK1;REST;MARCKS;SUCLA2;PC;SCD;VIM;VIP;PDE7A;RAN;HCN1
nervous system disorder	106/436	9.851491746826873E-34	1.2102557610976815E-30	0	0	3.7605454919573997	285.80247375779305	APP;EPO;SLC4A1;AQP4;SLC4A3;COMT;SCN1A;CAST;ARSA;POLG2;KCNQ1;HPRT1;ABCG2;GCDH;ABCB1;ABCB6;MAOB;COX15;SLC1A2;CACNA1A;CACNA1D;SLC1A4;TXN;ADRB2;CACNA1F;CPLX2;NEUROD1;GRK2;PENK;APOE;HCRT;DRD2;PPARGC1A;NDUFV1;SLC19A1;DRD4;ABCA2;PRNP;ACE;EIF2B2;BDNF;MTHFR;EIF2AK2;CP;GFAP;QDPR;GLUD1;GJB1;CDK5;TDP1;OGDH;REN;TPP1;ACHE;SLC2A1;ADAR;MTR;DBH;HMGB1;ADRA1A;SLC6A3;SLC6A4;ATP7B;SPTLC1;OPA1;TSPO;NOS1;ABCD1;POLG;TBP;PARP1;SIRT5;PRPF40A;NGF;ADRA2B;GAP43;NDUFS4;AVP;MAPT;ASPA;FXN;INA;HLA-DQB1;TOMM40;RNMT;KCNA3;ATP1A3;ATP1A2;TYMS;DISC1;SNCA;KCNJ5;CDKN2B;GCH1;MOG;NOS2;NDE1;GAD1;SLC25A38;GALC;PINK1;REST;PDE10A;NMNAT1;PLP1;TARDBP
Depressive disorder	143/741	2.547807355656809E-33	2.7822056323772356E-30	0	0	2.985034124367376	224.02703473238415	APP;PANK2;PREP;CPOX;AQP4;COMT;NRTN;CARTPT;SLC5A7;MTHFD1;HMBS;AGTR1;TIMELESS;NSMF;PPIG;CLOCK;TPH2;GYPA;ABCB1;ABCB6;CNP;MAOB;PDE1B;CHAT;CHRNA6;SLC1A2;ADRB1;ADRB2;CACNA1C;PSEN1;NTS;CPLX2;CPLX1;CACNA1G;DPP4;GRK2;BAG1;PENK;DRD1;APOE;HCRT;DRD2;PPARGC1A;DRD3;DRD4;DRD5;PRPH;PRNP;ACE;BDNF;WFS1;SLC4A10;MTHFR;CP;GFAP;DAO;STAR;TH;NMS;PAH;GNB3;REN;GSK3B;UCN;GSK3A;OGG1;TAT;SLC2A1;ATP2A2;MTR;OXT;TRH;DBH;SLC6A1;SLC6A2;SLC6A3;SLC6A4;ATP7B;PPP3CC;KCNT1;ALDH2;PDE4B;TSPO;PDE4A;NOS1;POLG;TBP;PDE4D;CAD;ABCC9;SLC35G1;OPRM1;ADRA2C;NGF;SIRT1;SIRT2;ADRA2A;CIT;GAP43;GAL;ADORA2A;NOS1AP;CAT;CRH;ANG;BPI;AVP;MAPT;DNASE1;NAT8L;MET;SLC29A3;CRP;TOMM40;POLDIP2;IDUA;KCNA3;ATP1A3;INS;NPS;ATP5F1A;PCNT;DISC1;KCNJ2;SNCA;KCNJ6;GCH1;NOS2;CDKN2A;NOS3;GAD1;S100B;SOD2;AGT;PER2;PER1;MARCKS;PINK1;SUCLA2;XK;TARDBP;KCNK2;HCN1
Diabetes Mellitus	222/1507	6.412578077446149E-33	6.302281734514075E-30	0	0	2.278616264085467	168.90709417950544	APP;AQP4;ENO2;AQP2;AQP1;PCMT1;LIPC;NAMPT;PDK4;PDHX;ENTPD1;HNF1A;CEL;OPRPN;ACE2;KCNQ1;AGTR1;TXNIP;TFAM;CLOCK;GYPA;ABCB6;SLC22A1;SLC5A1;TXN;SLC30A10;SLC5A2;SLC5A3;TRPM2;SI;APOE;HCRT;PCK1;PPARGC1A;HLA-DQA1;SLC19A2;ACE;DMPK;EIF2AK3;MTHFR;CP;TH;GJB3;NOX4;REN;ADA;RPAIN;RYR2;OGG1;PRKAG2;ADM;IDE;SLC6A2;SLC6A4;SLC22A12;UCN3;HNF4A;TSPO;CD38;PARP1;SLC2A10;GAA;SLC2A12;PAX4;HBA1;SLC35G1;SIRT1;SIRT2;BACE1;PSMA6;GAL;ADRB3;SLC7A9;AVP;MAPT;SLC29A1;PPARA;TKT;DLD;SLC29A3;VAMP2;HLA-DQB1;TOMM40;UCP1;KCNA3;KCNA5;SLC7A2;RHD;UCP3;UCP2;LMNA;DMD;STX4;PCNT;BCHE;ATP5PF;CDKN2B;GK;GCH1;CDKN2A;GAD1;GCK;AGT;PER1;GATM;EPO;COMT;SLC8A1;NPPA;ADORA1;ENPP1;PDE8B;CAST;G6PD;SLC30A8;G6PC;SLC30A3;S100A1;DIO2;CYBB;CDKAL1;SDHC;CYBA;CARTPT;PGF;SELENOS;PPIF;PPIG;SLC27A2;PPIA;PPID;ABCG2;KCNE1;CHAT;ADRB1;ADRB2;ACACB;SLC9A1;NEUROD1;DPP4;GRK2;NEUROD4;MSC;SYT5;FN3K;AMBP;BDNF;WFS1;GOT2;GFAP;SLC2A9;G6PC2;CDK5;CYP11B2;PIN1;GNB3;OGT;GSK3B;UCN;SLC25A3;SLC2A1;ATP2A2;SLC2A2;HMGB1;SLC2A4;CA1;DBP;ALDH2;CA2;NOS1;POLK;SLC37A4;ABCC1;ABCC8;PDE4D;CAD;ATP6AP2;SORD;NGF;ADRA2B;APOA5;ADRA2A;ADORA2A;NDUFS7;ADORA2B;DDAH2;CAT;NOS1AP;CRH;PDE5A;DNASE1;FXN;GAPDH;CRP;POLDIP2;MVP;RETN;ADD1;INS;PLN;POLD1;SLC25A20;IGF2BP2;KCNJ1;KCNJ5;TCF7L2;DUT;KCNJ11;NOS2;KCNJ9;NOS3;ATP2B1;S100B;SOD2;TPCN2;APLN;PINK1;SUCLA2;PC;SCD;IMPDH2;RAN
