Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Metabolic Syndrome X	167/548	1.003383181180303E-63	9.861249904640018E-60	0	0	4.3659674147198455	633.3249776660368	SLC27A1;IRS1;CCL4L1;HFE;CCL4L2;IRS2;ICAM1;FADS2;LGALS3;LGALS2;LIPC;CHEK2;LIPG;OSBP;LEPR;RAG1;IGFBP1;GHSR;ABCG8;ABCG5;ADIPOQ;CDKAL1;HNF1A;PRKAB1;BSCL2;RBP4;MTNR1B;SELENOP;AGTR1;AGTR2;NEIL1;ABCG1;SLC27A4;FTO;CETP;CUL7;INSIG2;GIPR;INSIG1;SLC35D3;MTTP;PIK3R4;LPL;PIK3R2;PIK3R1;ADIPOR1;ACACB;ADIPOR2;C3;DPP4;NLRP3;APOE;APOB;PCK1;ATG7;PPARGC1A;PPARGC1B;PCK2;FGF21;ABCA1;XBP1;GCKR;TGFB1;WFS1;INSR;NFKB1;SLC2A9;MLXIPL;GH1;G6PC2;IL6;FGF19;FAT1;GNAS;HLA-DRB1;MYD88;FBN1;PCSK1;PIK3CD;PCSK9;PIK3CB;OSBPL11;SLC2A5;PIK3CG;OSBPL10;GYS1;HHEX;HNF4A;C1QTNF5;FFAR4;LBP;CCR2;IL10;SREBF1;MKKS;GPX1;AHSG;APOA2;IL18;APOA1;TBC1D9;APOA4;KLF14;APOA5;SREBF2;GIP;PIK3CA;ADRB3;ANGPTL6;IL1B;ANGPTL3;PLIN4;CDH13;PPARG;PLIN1;ANGPTL4;PPARA;LCT;TLR4;CDH18;PPARD;TLR2;FOXC2;PRKAA1;TOMM40;LCAT;NOD1;LRP2;NOD2;RETN;ABCB11;AGPAT2;LRP6;INS;MAPK8;CNR1;UCP3;CCL5;UCP2;CCL4;LMNA;CCL2;IGF2BP2;LDLR;MAPK3;PTPN1;TCF7L2;GALNT2;APOC4;PDX1;APOC3;GCG;GCK;USF1;TM6SF2;FABP1;FABP2;SLC25A37;MAPK11;GNPDA2;CAPN10;LEP;APOC1;PNPLA3;GHRL;LPIN1;PNPLA2
Fatty Liver	135/443	2.17936311762521E-51	1.0709390360010282E-47	0	0	4.365908400007762	509.29547021227114	HFE;FADS2;LGALS3;LGALS1;LEPR;FAM3B;MAP3K8;GGT1;MAP3K7;MEN1;GGT2;DGAT2;G6PC;DGAT1;ADIPOQ;HNF1A;PRKAB1;BSCL2;RBP4;PPP1R3B;AGTR1;TXNIP;NEIL1;SLC27A4;CETP;INSIG1;MTTP;LPL;ABHD5;REG3G;ADIPOR1;ACACB;ADIPOR2;ACACA;DPP4;NPC1L1;NLRP3;APOE;APOB;ATG7;PPARGC1A;PLTP;PCK2;FGF21;ABCA1;XBP1;GCKR;TGFB1;INSR;HPS1;EIF2AK3;NR1D1;NFKB1;MLXIPL;GH1;IL6;CPS1;FGF19;FAT1;SLC22A8;OGT;NFE2L2;PIK3CD;PCSK9;SLC2A2;PIK3CB;VLDLR;PIK3CG;IKBKB;HHEX;ATP7B;HNF4A;FFAR4;IKBKG;FFAR1;APPL1;CCR2;IL10;SREBF1;GPX1;ABCC2;AHSG;ITGA1;IL18;APOA1;PEX1;APOA5;GIP;NPC1;PIK3CA;ADRB3;IRF3;NRG4;IL1B;ANGPTL3;PLIN2;PPARG;PLIN1;ANGPTL4;PPARA;TLR4;PPARD;BECN1;PRKAA1;RETN;AGPAT1;AGPAT2;LRP6;INS;MAPK9;MAPK8;UCP2;SPP1;MFN2;CCL2;LDLR;IFNL3;MAPK3;TCF7L2;MBTPS1;SORT1;APOC4;APOC3;GCK;TM6SF2;FABP1;DHRS7;GLB1;LEP;APOC1;PNPLA3;GHRL;PNPLA6;LPIN1;PNPLA2
Steatohepatitis	153/569	2.0582843978928165E-50	6.742939687496867E-47	0	0	3.8523322976518397	440.73525211519814	IRS1;HFE;SLC4A1;IRS2;FADS2;LGALS3;STK11;LGALS1;LEPR;FAM3B;MAP3K8;GGT1;MAP3K7;MEN1;GGT2;ABCG8;ST6GAL1;ABCG5;DGAT2;G6PC;DGAT1;ADIPOQ;HNF1A;PRKAB1;BSCL2;RBP4;PPP1R3B;AGTR1;TXNIP;NEIL1;ATF6;SLC27A4;CETP;SLC22A5;INSIG1;MTTP;TGFA;LPL;PPP1R3A;ABHD5;REG3G;ADIPOR1;ADIPOR2;ACACA;DPP4;NPC1L1;NLRP3;APOE;APOB;PCK1;PPARGC1A;GPIHBP1;PCK2;FGF21;ABCA1;XBP1;GCKR;TGFB1;ATP8B1;INSR;HPS1;EIF2AK3;NR1D1;NFKB1;MLXIPL;GH1;IL6;FGF19;FAT1;SLC22A8;OGT;NFE2L2;SLC40A1;PIK3CD;PCSK9;SLC2A2;PIK3CB;VLDLR;PIK3CG;IKBKB;HHEX;ATP7B;HNF4A;FFAR4;IKBKG;LBP;FFAR1;LDLRAP1;APPL1;CCR2;IL10;SREBF1;GPX1;AHSG;ITGA1;APOA1;APOA5;SREBF2;GIP;NPC1;PIK3CA;ADRB3;IRF3;NRG4;IL1B;ANGPTL3;PLIN2;PPARG;PLIN1;ANGPTL4;PPARA;TLR4;PPARD;CERS2;BECN1;PRKAA1;RETN;AGPAT1;AGPAT2;INS;MAPK9;MAPK8;CNR1;POLD1;UCP2;CCL4;LMNA;SPP1;MFN2;CCL2;LDLR;IFNL3;MAPK3;TCF7L2;MBTPS1;SORT1;APOC4;APOC3;GTF2H1;GCK;TM6SF2;FABP1;DHRS7;MFAP1;GLB1;LEP;ALMS1;APOC1;ERCC2;PNPLA3;PNPLA6;LPIN1;PNPLA2
Diabetes Mellitus, Non-Insulin-Dependent	287/1672	4.889077587331806E-50	1.2012463632074247E-46	0	0	2.4591793367242016	279.2207574956383	SLC35B3;APP;XYLT2;ICAM1;C4B;LIPC;CHEK2;LIPG;IL12B;VPS35;ST6GAL1;PRKCI;HNF1B;HNF1A;HSPG2;PRKAB1;RBP4;PPP1R3C;AGTR1;TXNIP;AGTR2;ATF6;PPP1R37;CETP;CFH;GIPR;EBI3;MTTP;PPP1R3A;VPS26A;C2CD4B;ABCB9;PIK3R1;SLC5A2;SLC30A10;C3;UGCG;C5;APOE;PCK1;APOB;SNX7;PPARGC1A;HLA-DQA2;PPARGC1B;HLA-DQA1;PCK2;SLC19A2;ABCA1;HLA-DRB5;XBP1;INSR;ABCA4;SLC16A11;PBX4;NR1D1;SLC16A13;EXT1;EXT2;FAT1;HLA-DRB1;PCSK1;IL20;PRKAG2;PCSK9;C1QTNF9;VLDLR;BRCA2;C1QTNF3;GYS1;GNGT2;C1QTNF1;HNF4A;FFAR4;FFAR1;APPL1;CCR2;IL10;SREBF1;SLC2A11;AHSG;SLC2A10;IL18;PAX4;SLC39A10;HBA1;SREBF2;F7;BBS10;ADRB3;IL1B;ANGPTL8;PPARG;EXOC6;PLIN1;ANGPTL4;PPARA;TLR4;HLA-DQB2;PPARD;HLA-DQB1;TLR2;FOXC2;TOMM40;ADH1C;UCP3;UCP2;LMNA;SPP1;MFN2;LDLR;MAP4K4;CDKN2B;PKLR;GK;SORT1;CDKN2A;GCG;GCK;FABP1;FABP2;ALMS1;PNPLA3;GHRL;RAB3GAP1;PNPLA2;SCARB1;SLC27A1;EXOC3L2;IRS1;HFE;IRS4;IRS2;CELSR1;CELSR2;FADS3;FADS2;STK11;LEPR;SLC39A7;GGT1;SLC39A1;FADS1;KPNA1;GGT2;SLC39A3;SLC30A7;IGFBP1;SLC30A6;ABCG8;GHSR;ABCG5;SLC30A8;G6PC;DGAT1;SLC30A5;ADIPOQ;VPS33B;SLC30A1;CDKAL1;RPGRIP1L;MSH2;SELENOS;MTNR1B;MADD;SELENOP;ELMO1;ABCG1;SLC27A4;FTO;FBN2;BEAN1;INSIG1;GLIS3;LPL;NRF1;PSEN1;ADIPOR1;ACACB;ADIPOR2;ACACA;KNG1;DPP4;IRAK1;NPC1L1;NLRP3;IP6K1;PLTP;FGF21;GCKR;TGFB1;WFS1;NFKB1;LRP1B;MLXIPL;GH1;G6PC2;IL6;FGF19;HLA-DRA;TGFBI;OGT;NFE2L1;NFE2L2;FBN1;SLC25A3;ITGB2;SLC2A1;PIK3CD;TNFAIP3;SLC2A2;PIK3C2G;PIK3CB;SLC2A4;SLC2A5;PIK3CG;HHEX;MBL2;FGB;GPX1;ABCC2;ABCC8;VPS13C;ITGA2;ITGA1;APOA2;APOA1;APOA4;ARAP1;KLF14;APOA5;GIP;TGFBR2;TGFBR3;NPC1;PIK3CA;TBC1D4;OAS1;NPC2;NRG4;BECN1;PRKAA1;LRP1;LRP5;SLC3A2;RNF6;NOD1;RETN;NOD2;AGPAT1;CLN8;ADD1;INS;MAPK8;CNR1;CCL5;CCL4;CCL2;MAPK1;IGF2BP2;UGGT2;KCNJ1;IFNL3;SH2B1;MUTYH;MLXIP;PTPN1;TCF7L2;KCNJ11;GALNT2;APOC4;PDX1;APOC3;MBOAT4;SORL1;USF1;TM6SF2;MFAP1;RPS6KB1;GNPDA2;CAPN10;APOC2;LEP;PDCD1;CDO1;LPIN1;LPIN2
Diabetes Mellitus	267/1507	5.4321883697949025E-49	1.067750945966886E-45	0	0	2.538297876385844	282.09202745954696	APP;CBLB;ICAM1;LGALS3;LIPC;LGALS1;LIPG;IL12B;SLC11A1;CTRB1;HLA-B;HNF1B;HNF1A;PRKAB1;CD2AP;RBP4;RFX6;PPP1R3C;PPP1R3B;AGTR1;TXNIP;CFB;CETP;GYPA;CFH;GIPR;GYPB;GYPE;MTTP;PIK3R4;PPP1R3A;C2CD4B;PIK3R1;SLC5A2;SLC30A10;C3;RNF213;APOE;PCK1;APOB;PPARGC1A;HLA-DQA2;PPARGC1B;HLA-DQA1;GPIHBP1;PCK2;SLC19A2;ABCA1;BBS1;SLC10A2;INSR;ABCA4;EIF2AK3;SLC16A11;GJB4;GJB3;FAT1;HLA-DRB1;PCSK1;IL20;HNF4G;PRKAG2;PCSK9;OSBPL11;BRCA2;EEA1;IFIH1;HNF4A;FFAR4;FFAR1;BBS4;CTSC;APPL1;CCR2;IL10;SREBF1;WDR36;ELOVL4;AHSG;SLC2A10;SLC2A12;IL18;PAX4;NME2;HBA1;SLC35G1;SREBF2;F7;GAL;ADRB3;SLC7A9;ANGPTL6;IL1B;ANGPTL3;ANGPTL2;PPARG;PLIN1;PPARA;TLR4;HLA-DQB2;PPARD;HLA-DQB1;TLR2;FOXC2;TOMM40;ADH1C;CYP7A1;SLC7A2;RHD;UCP3;UCP2;LMNA;SPP1;LDLR;MAP4K4;CDKN2B;PKLR;GK;SORT1;CDKN2A;GCG;GCK;FABP2;ALMS1;PNPLA3;IL17F;GHRL;PNPLA2;SCARB1;IRS1;HFE;IRS4;IRS2;GIMAP5;STK11;PTTG1;LEPR;GGT1;RAG2;FADS1;GGT2;MEN1;IGFBP1;ABCG8;GHSR;ABCG5;SLC30A8;G6PC;SLC30A3;ADIPOQ;MUL1;TSC2;CDKAL1;BSCL2;SELENOS;MTNR1B;MADD;SELENOP;ELMO1;SLC27A2;ABCG1;FTO;FBN2;INSIG2;GLIS3;PSEN2;CLEC16A;LPL;ADRB1;NRF1;VTCN1;ADIPOR1;ACACB;ADIPOR2;KNG1;DPP4;IRAK1;NPC1L1;NLRP3;PLTP;FGF21;FN3K;GCKR;TGFB1;HBG2;WFS1;TGFB3;NFKB1;SLC2A9;MLXIPL;GH1;G6PC2;IL6;FGF19;GNAS;TGFBI;OGT;NFE2L2;SLC25A3;CXCL9;ITGB2;SLC2A1;PIK3CD;TNFAIP3;SLC2A2;PIK3CB;SLC2A4;PIK3CG;GHR;HHEX;HJV;SLC37A4;MBL2;FGB;MKKS;GPX1;ABCC8;VPS13C;APOA2;APOA1;APOA4;PEX1;KLF14;APOA5;TGFBR1;GIP;DNAJC3;PIK3CA;PEX6;CERS2;PRKAA1;LRP5;NOD1;LRP2;RETN;NOD2;AGPAT2;ADD1;INS;MAPK8;CNR1;CCL5;POLD1;CCL4;CCL2;MAPK1;IGF2BP2;KCNJ1;SH2B3;IFNL3;MAPK3;MUTYH;PTPN1;TCF7L2;GALNT3;KCNJ11;PDX1;APOC3;MBOAT4;SORL1;USF1;NPHS2;CAPN10;LEP;PMP22;KRAS;LPIN2
Diabetes	238/1268	7.547993057895268E-48	1.236361262883245E-44	0	0	2.689071072826372	291.7717482115731	APP;CBLB;ICAM1;LGALS3;LIPC;LGALS1;IL12B;SLC11A1;CTRB1;HLA-B;HNF1B;HNF1A;PRKAB1;CD2AP;RBP4;RFX6;PPP1R3C;PPP1R3B;AGTR1;TXNIP;CFB;CETP;GYPA;CFH;GIPR;GYPB;GYPE;MTTP;PIK3R4;PPP1R3A;C2CD4B;PIK3R1;SLC5A2;SLC30A10;C3;RNF213;APOE;APOB;PCK1;PPARGC1A;HLA-DQA2;PPARGC1B;HLA-DQA1;GPIHBP1;PCK2;SLC19A2;ABCA1;INSR;ABCA4;EIF2AK3;SLC16A11;FAT1;HLA-DRB1;PCSK1;IL20;HNF4G;PRKAG2;PCSK9;OSBPL11;BRCA2;EEA1;IFIH1;HNF4A;FFAR4;FFAR1;CTSC;APPL1;CCR2;IL10;SREBF1;ELOVL4;AHSG;SLC2A10;SLC2A12;IL18;PAX4;NME2;HBA1;SLC35G1;SREBF2;GAL;ADRB3;SLC7A9;ANGPTL6;IL1B;ANGPTL3;ANGPTL2;PPARG;PPARA;TLR4;HLA-DQB2;PPARD;HLA-DQB1;TLR2;TOMM40;ADH1C;CYP7A1;SLC7A2;UCP3;UCP2;LMNA;SPP1;LDLR;MAP4K4;CDKN2B;PKLR;SORT1;CDKN2A;GCG;GCK;FABP2;ALMS1;PNPLA3;IL17F;GHRL;PNPLA2;SCARB1;IRS1;HFE;IRS4;IRS2;GIMAP5;STK11;PTTG1;LEPR;GGT1;RAG2;GGT2;MEN1;IGFBP1;GHSR;ABCG8;ABCG5;G6PC;SLC30A8;ADIPOQ;MUL1;TSC2;CDKAL1;BSCL2;SELENOS;MTNR1B;MADD;SELENOP;ELMO1;SLC27A2;ABCG1;FTO;FBN2;INSIG2;GLIS3;PSEN2;CLEC16A;LPL;NRF1;VTCN1;ADIPOR1;ACACB;ADIPOR2;KNG1;DPP4;IRAK1;NLRP3;PLTP;FGF21;FN3K;GCKR;TGFB1;HBG2;WFS1;NFKB1;MLXIPL;GH1;G6PC2;IL6;FGF19;TGFBI;OGT;NFE2L2;SLC25A3;CXCL9;ITGB2;SLC2A1;PIK3CD;TNFAIP3;SLC2A2;PIK3CB;SLC2A4;PIK3CG;GHR;HHEX;SLC37A4;MBL2;FGB;MKKS;GPX1;ABCC8;VPS13C;APOA2;APOA1;APOA4;KLF14;APOA5;GIP;DNAJC3;PIK3CA;CERS2;PRKAA1;LRP5;NOD1;RETN;NOD2;AGPAT2;ADD1;INS;MAPK8;CNR1;CCL5;CCL2;IGF2BP2;KCNJ1;SH2B3;IFNL3;MUTYH;PTPN1;TCF7L2;GALNT3;KCNJ11;PDX1;APOC3;MBOAT4;SORL1;USF1;NPHS2;CAPN10;LEP;KRAS;LPIN2
Hyperinsulinism	118/377	2.8842015679124278E-46	4.049419001349048E-43	0	0	4.484202685961406	470.21199668386305	SLC27A1;IRS1;IRS2;LIPC;LEPR;EYS;MEN1;IGFBP1;G6PC;SLC30A8;ADIPOQ;HNF1A;PRKAB1;BSCL2;RBP4;AGTR1;TXNIP;NEIL1;FTO;CETP;ARL6;MTTP;LPL;PPP1R3A;SLC5A2;SLC30A10;ADIPOR1;ADIPOR2;ACACA;DPP4;RDH12;APOE;PPARGC1A;PLTP;FGF21;ABCA1;BBS2;XBP1;WFS1;INSR;ABCA4;NFKBIA;GH1;IL6;G6PC2;PRPH2;FAT1;HLA-DRB1;FBN1;PIK3CD;PIK3CB;SLC2A4;PIK3CG;RPGR;GHR;HNF4A;SREBF1;GPX1;AHSG;ABCC8;IL18;APOA2;ELOVL6;KLF14;APOA5;GIP;VAMP8;RP1;ADRB3;PIK3CA;TBC1D4;NPC2;ANGPTL3;PPARG;PLIN1;ANGPTL4;PPARA;TLR4;TLR2;CRB1;PRKAA1;TULP1;RETN;ABCB11;AGPAT2;INS;MAPK9;MAPK8;CNR1;MGAT5;UCP3;LMNA;UCP2;RHO;CCL2;PDE6B;LDLR;SH2B1;PTPN1;TCF7L2;KCNJ11;PDX1;APOC3;GCG;USH2A;GCK;FABP2;TTC8;RPS6KB1;CAPN10;KLHL7;LEP;ALMS1;APOC1;PNPLA3;GHRL;LPIN1;PNPLA2
Impaired glucose tolerance	108/326	4.930083782130706E-45	6.056607926347572E-42	0	0	4.746251340376536	484.21718080876497	APP;SLC27A1;IRS1;HFE;IRS2;ICAM1;LIPC;LEPR;GGT1;RAG1;IGFBP1;GHSR;G6PC;SLC30A8;ADIPOQ;HNF1B;CDKAL1;HNF1A;RBP4;PPP1R3C;MTNR1B;AGTR1;TXNIP;SELENOT;NEIL1;FTO;CETP;PSEN2;CLEC16A;LPL;PPP1R3A;PIK3R1;PSEN1;SLC5A2;SLC30A10;ADIPOR1;ADIPOR2;DPP4;APOE;APOB;PPARGC1A;ABCA1;XBP1;GCKR;WFS1;INSR;NFKB1;GH1;MLXIPL;IL6;G6PC2;PIN4;MYD88;SLC40A1;PCSK9;PIK3CD;SLC2A2;SLC2A3;PIK3CB;SLC2A4;PIK3CG;GHR;HHEX;C1QTNF7;HNF4A;FFAR4;FFAR2;FFAR1;CCR2;SLC2A14;ABCC8;APOA1;HBA1;ADRB3;PIK3CA;PPARG;PLIN1;ANGPTL4;PPARA;TLR4;HLA-DQB1;PPARD;TLR2;PRKAA1;ADH1C;RETN;INS;MAPK8;CNR1;UCP3;LMNA;CCL4;IGF2BP2;MAP4K4;MAPK3;SH2B1;PTPN1;TCF7L2;KCNJ11;PDX1;GCG;GCK;FABP2;RPS6KB1;CAPN10;APOC2;LEP;GHRL
Obesity	304/1961	1.0633860570921845E-43	1.1612175743446656E-40	0	0	2.2209591328907976	219.76324166274713	APP;HHIP;XYLT2;ICAM1;LGALS3;LIPC;TBK1;GNAT2;LIPG;VPS35;EYS;PRKCI;HNF1B;HNF1A;HSPG2;PRKAB1;RBP4;PPP1R3B;AGTR1;AGTR2;TRIB1;NEIL1;ATF6;CFB;CETP;CFH;STXBP3;GIPR;SLC35D3;MTTP;TGFA;PIK3R1;C3;RDH12;INPP5E;APOE;PCK1;APOB;PPARGC1A;PPARGC1B;GPIHBP1;ATG5;PCK2;ABCA1;BBS2;BBS1;XBP1;FZD4;SLC10A2;INSR;ABCA4;EIF2AK2;EXT2;TCN2;FAT1;HLA-DRB3;HLA-DRB1;PCSK1;GBE1;PCSK9;VLDLR;OSBPL11;C1QTNF3;GYS1;C1QTNF1;C1QTNF7;HNF4A;C1QTNF6;C1QTNF5;MLX;FFAR4;BBS9;FFAR3;FFAR2;BBS7;FFAR1;BBS5;BBS4;CTSC;APPL1;CCR2;APOBEC1;IL10;SREBF1;ELOVL5;AHSG;IL18;ELOVL6;SLC35G1;SREBF2;F7;GAL;BBS10;ADRB3;ANGPTL6;BBS12;IL1B;ANGPTL8;PLIN4;ANGPTL2;PLIN3;PPARG;PLIN2;PLIN1;ANGPTL4;PPARA;TLR4;PPARD;PLIN5;TLR2;CRB1;FOXC2;CYP7A1;UCP3;UCP2;LMNA;SPP1;RHO;MFN2;GPAT3;LDLR;MAP3K3;SLC16A1;GK;SORT1;CDKN2A;FABP9;GCG;GTF2H1;MLH1;GCK;FABP1;FABP2;TTC8;KLHL7;ALMS1;PNPLA3;PNPLA4;F2RL1;GHRL;PNPLA6;LGR4;PNPLA1;PNPLA2;SCARB1;SLC27A1;NCF2;IRS1;HFE;IRS2;FADS2;STK11;LEPR;FAM3B;SLC16A7;FAM3A;MAP3K8;FAM3C;RAG2;FADS1;RAG1;GTF2I;IGFBP1;MAP2K4;GHSR;DGAT2;SLC30A8;DGAT1;ADIPOQ;MUL1;CDKAL1;RPGRIP1L;MSH2;SELENOS;MTNR1B;COL4A1;SLC27A2;ABCG1;SLC27A4;FTO;ARL6;INSIG2;INSIG1;LPL;ADRB1;NRF1;PSEN1;ABHD5;ADIPOR1;ACACB;ADIPOR2;ACAT2;ACACA;KNG1;DPP4;NPC1L1;NPHP1;NLRP3;PLTP;MAP2K5;FGF21;GCKR;SLC37A2;TGFB1;WFS1;TGFB3;NFKB1;MLXIPL;GH1;G6PC2;IL6;CPS1;PRPH2;FGF19;GNAS;OSBPL1A;NFE2L1;MYD88;NFE2L2;SLC25A3;ITGB2;SLC2A1;PIK3CD;SLC2A2;PIK3CB;SLC2A4;CXCL2;PIK3CG;RPGR;GHR;HHEX;LBP;MBL2;NCK1;FGB;MKKS;GPX1;ABCC8;VPS13C;FGG;APOA2;VPS13B;APOA1;APOA4;APOA5;GIP;TBC1D1;RP1;NPC1;PIK3CA;IRF3;NRG4;CDH13;LCT;SLC25A14;PRKAA1;LEPROT;LRP1;LRP5;LCAT;LRP2;RETN;TULP1;IL2RG;AGPAT2;ADD1;INS;MAPK9;MAPK8;CNR1;CCL5;CCL4;CCL2;MAPK1;PDE6B;IGF2BP2;IFNL3;SH2B1;MAPK3;PTPN1;TCF7L2;KCNJ11;GALNT2;PDX1;APOC3;APOBR;MBOAT4;USH2A;SORL1;USF1;TM6SF2;MFAP1;RPS6KB1;GNPDA2;GLB1;CAPN10;LEP;ERCC2;APOC1;RAB18;KRAS;LPIN1;LPIN2;GALP
Hypertensive disease	224/1310	3.7810846816904945E-38	3.716050025165418E-35	0	0	2.449747369802489	211.09037670547127	RB1;APP;SLC4A1;ICAM1;LGALS3;LIPC;LGALS1;CHEK2;LIPG;IL12B;HLA-B;HNF1A;HSPG2;CD2AP;AGTR1;ULK3;TXNIP;AGTR2;PRKD1;SLC22A4;CETP;GYPA;SLC22A6;SLC22A5;CFH;GYPB;GYPE;TGFA;PPP1R3A;PIK3R1;SLC5A2;C3;SNX1;APOE;APOB;ATG7;PPARGC1A;PPARGC1B;ABCA1;BBS2;BBS1;XRCC6;INSR;EIF2AK4;SLC22A8;HLA-DRB1;ACVRL1;PCSK1;PCSK9;IKBKB;IFIH1;GYS1;C1QTNF1;HNF4A;BBS9;BBS7;LDLRAP1;BBS5;BBS4;CTSC;CCR2;IL10;SREBF1;SLC2A10;SLC2A12;IL18;IL16;SLC39A12;IL17RA;MMP12;F7;GAL;BBS10;ADRB3;BBS12;IL1B;PPARG;PLIN1;TLR6;PPARA;TLR4;TLR2;CYP7A1;GNAI2;UCP3;UCP2;LMNA;SPP1;MFN2;LDLR;CDKN2B;CDKN2A;SLC31A1;CARD8;GCG;KLHL3;GCK;PLEKHA7;FABP2;TTC8;CFHR1;CFHR3;ALMS1;F2RL1;GHRL;TJP2;SCARB2;NCF2;IRS1;HFE;HDLBP;IRS2;STK11;LEPR;SLC39A8;GGT1;FADS1;RAG1;GGT2;ABCG8;ABCG5;G6PC;ADIPOQ;TAP1;CDKAL1;COL4A1;COL4A4;COL4A3;FTO;ARL6;CUL3;PSEN2;LPL;ADRB1;REG3G;KNG1;STK3;DPP4;IRAK1;NPHP1;NPHP3;NLRP3;NPHP4;TGFB2;TGFB1;HBG2;TGFB3;NFKB1;NFKBIA;SLC2A9;GH1;IL6;CPS1;GNAS;SLC26A4;MYD88;NFE2L2;FBN1;SLC25A3;CXCL9;ITGB2;SLC2A1;PIK3CD;SLC2A2;SLC2A3;PIK3CB;SLC2A4;PKD2;SLC2A5;CXCL2;SLC2A6;PIK3CG;GHR;SLC37A4;MBL2;SLC36A1;IQCB1;FGB;MKKS;GPX1;ABCC2;ITGA2;APOA1;APOA4;APOA5;TGFBR1;TGFBR2;TGFBR3;NPC1;PIK3CA;ITGA8;CDH13;LCT;CDH18;BECN1;MTPN;LRP1;LRP5;SLC3A1;SLC3A2;LRP2;RETN;ADD1;INS;MAPK8;CNR1;CCL2;IGF2BP2;KCNJ1;SH2B3;PTPN1;TCF7L2;KCNJ11;GALNT2;APOC3;SORL1;NPHS1;RPS6KB1;GNPDA2;CAPN10;LEP;APOC1;CDO1;LPIN1
