Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hypertensive disease	209/1310	1.914097237003446E-37	1.8811747645269868E-33	0	0	2.524398492607981	213.4288106376886	APP;NUDT1;MLC1;SLC4A1;AQP4;ENO1;AQP2;SLC4A4;SLC4A5;AQP1;LIPC;CHEK2;ENTPD2;SLC6A18;HNF1A;NISCH;ACE2;SCN10A;MYL3;HMBS;AGTR1;TXNIP;TFAM;AGTR2;CLOCK;SLC22A4;SLC22A6;GYPA;ABCB1;SLC22A5;ABCB6;SLC22A2;WNK4;TXN;SLC5A2;APOE;ACE;MTHFR;EIF2AK4;WNK3;PDE3A;NOX4;REN;CALR;SLC22A8;ADA;OGG1;ADM;IDE;SLC6A2;SLC6A3;SLC6A4;SLC22A12;HNF4A;PARP1;ARG1;MMD;SLC2A10;SLC2A12;SLC39A12;SIRT3;GAL;AVP;PPARA;DLD;IDUA;UCP1;KCNA3;KCNA5;SLC7A1;PDC;NPS;ATP5F1B;NPW;UCP3;UCP2;LMNA;MFN2;DMD;XDH;ATP5PF;CDKN2B;MDH1;GCH1;CDKN2A;SLC31A1;GCK;AGT;OTC;EPO;CPOX;COMT;SLC8A1;RGS2;NPPA;ADORA1;ENPP1;SLC39A8;PDE8B;CAST;G6PD;G6PC;S100A1;DIO2;CYBB;TAP1;CDKAL1;SDHC;CYBA;ATP1B1;SDHB;PGF;COL4A1;PPIG;PPIA;CACNA1D;NREP;CACNA1C;CACNA1H;DPP4;GRK2;GRK5;GRK4;DRD1;DRD2;DRD3;BDNF;AGXT2;GOT2;ADA2;QDPR;SLC2A9;GCLC;CYP11B2;FES;NF1;GNB3;SLC26A4;GSK3B;UCN;SLC25A3;CPQ;PDE3B;SLC2A1;ATP2A2;SLC2A2;OXT;MTR;SLC2A3;HMGB1;TRH;SLC2A4;DBH;SLC2A5;SLC2A6;PPP1R9B;ALAD;DBP;OPA1;ALDH2;NOS1;ATP7A;SLC37A4;SLC36A1;ABCC4;MYOCD;ABCC1;TBP;CAD;ATP6AP2;ABCC6;ABCC9;NGF;APOA5;PKM;ADORA2A;DDAH1;ADORA2B;DDAH2;CAT;CASQ2;PDE5A;FXN;MYH7;CRP;SLC3A2;ATP1A2;RETN;ATP1A1;ADD1;INS;ADD2;PLN;IGF2BP2;KCNJ1;KCNJ5;TCF7L2;KCNJ8;KCNJ11;NOS2;NOS3;BAD;ATP2B3;ATP2B2;ATP2B1;SOD2;APLN;SLC4A7;KCNK3
Epilepsy	193/1177	3.8035249501393304E-36	1.869052160498467E-32	0	0	2.5945602959680802	211.60490456408118	APP;SLC46A1;GLDC;MLC1;AQP4;SLC4A3;AQP2;AQP1;PCMT1;SCN1B;EARS2;SCN1A;ARSA;PDHX;NPFF;HNF1A;SCN10A;HMBS;KCNQ5;HPD;ABCB1;ABCB6;SLC5A1;DGUOK;TRPM2;SLC19A3;ASL;APOE;PCK1;TREX1;MTHFR;SMARCA2;MANF;AIMP1;GLUD1;GJB2;SLC6A8;SLC6A9;TDP2;GJB3;PAH;REN;SCN2B;PIGT;ADK;SLC35F1;SLC6A1;ATIC;KCNT1;HNF4A;TSPO;IDS;TK2;NELFA;SLC32A1;ARG1;AMPD2;SIRT1;BACE1;GAL;IVD;MAPT;DLD;TOMM40;KCNA2;ODC1;KCNA3;UCP1;PTS;PURA;ATP5F1A;UCP2;SLC17A6;DMD;SLC17A7;GABRD;GK;PET100;GCH1;GAD1;NDE1;GCK;NMNAT1;OTC;ATP8A2;NDUFA10;PARK7;COMT;KCNH2;CADPS2;SDHD;SDHA;DPM2;PREPL;COL4A1;PPIG;PPIA;ABCG2;ATP6V1A;KCNE1;COX15;SLC1A2;CACNA1A;CACNA1D;PSEN1;CPLX1;CACNA1H;CACNA1G;NDP;NDUFV2;DRD2;NDUFV1;COX10;EIF2B5;PRNP;EIF2B2;BDNF;WFS1;IDH1;NONO;IDH2;SLC4A10;ADA2;GFAP;QDPR;SLCO1A2;TPP1;NES;SLC25A1;SLC2A1;ATP2A2;MTR;HMGB1;TRH;DBH;CPT2;ALDH2;GMPPA;ATP7A;ABCD1;POLG;ABCC1;TBP;ABCC8;ABCC5;ATP6AP2;AMT;OPRM1;NGF;DNM1;TRDN;NDUFS7;NDUFS6;NDUFS4;CASQ2;NDUFS1;SLC25A12;NAT8L;ASPA;NDUFB9;PRPS1;MVP;NDUFB3;ATP1A3;ATP1A2;MFF;INS;SLC25A21;SLC25A20;CACNG2;KCNJ1;SLC25A22;SLC35A2;KCNJ10;SLC35A3;KCNJ11;KCNJ13;NDUFA2;ZNF804A;S100B;SOD2;GALC;BCKDK;PINK1;PC;SUCLA2;PDE10A;IMPDH1;VIM;KCNK2;KCNK3;HCN2;HCN1
Seizures	192/1174	8.635565071185847E-36	2.8290111173204834E-32	0	0	2.5877126776356927	208.92460923045812	APP;SLC46A1;ATP8A2;GLDC;MPI;NDUFA10;CPOX;MLC1;AQP4;AQP2;SLC8A1;SCN1B;EARS2;SCN1A;KCNH2;ARSA;PDHX;SLC30A3;NPFF;SLC30A1;HNF1A;SDHD;SDHA;DPM2;SCN10A;PREPL;SCO2;COL4A1;HMBS;AMPH;ADNP;HPD;SLC27A4;ATP6V1A;KCNE1;ABCB1;ABCB6;COX15;CHAT;SLC1A2;CACNA1A;CACNA1C;PSEN1;CPLX1;CACNA1H;CACNA1I;DGUOK;SLC19A3;ASL;APOE;DRD1;NDP;PCK1;NDUFV2;DRD2;NDUFV1;DRD3;COX10;EIF2B5;PRNP;ACE;EIF2B2;BDNF;WFS1;TREX1;IDH1;NONO;IDH2;MTHFR;ADA2;INO80;SMARCA2;GFAP;AIMP1;QDPR;GJB1;SLC6A8;CTRL;SLC6A9;CDK5;TDP2;PAH;GNB3;TPP1;NES;SLC25A1;ACHE;PIGT;ADK;SLC2A1;ATP2A2;MTR;OXT;ADM;HMGB1;TRH;DBH;SLC6A1;SLC6A2;SLC6A3;PANX1;ALAD;ATIC;KCNT1;CPT2;HNF4A;GMPPA;IDS;TK2;NELFA;SCN5A;NOS1;ATP7A;ABCD1;POLG;MYOCD;TBP;ARG1;ABCC8;AMT;AMPD2;OPRM1;NGF;DNM1;TRDN;BACE1;GAL;ADORA2A;NDUFS7;NDUFS6;IVD;CAT;NDUFS4;CASQ2;NDUFS1;MAPT;SLC29A1;SLC25A12;NAT8L;DLD;ASPA;NDUFB9;PRPS1;SLC24A1;TOMM40;KCNA2;NDUFB3;KCNA3;ATP1A3;ATP1A2;MFF;PTS;INS;RHD;PURA;ATP5F1A;UCP2;SLC17A7;SLC25A20;KCNJ1;GABRD;SLC35A2;BCHE;KCNJ10;SLC35A3;GK;PET100;GCH1;KCNJ11;NOS2;MGMT;GAD1;NDE1;KCNJ13;NDUFA2;ZNF804A;S100B;SOD2;GCK;AGT;GALC;BCKDK;REST;PC;SUCLA2;PDE10A;NMNAT1;IMPDH1;TARDBP;KCNK2;OTC;HCN1
Heart failure	152/815	8.553549014848974E-35	2.101606992948393E-31	0	0	2.9509979032383318	231.488468960432	EPO;AQP2;SLC8A1;LIPC;SLN;PRKACG;CHEK2;NPPA;NAMPT;PDK4;ENPP1;SYBU;KCNH2;CAST;G6PD;SLC30A3;S100A1;CYBB;SDHD;SDHB;PGF;NISCH;ACE2;ACLY;PPA1;MAPKAPK2;AGTR1;SLC27A6;TFAM;AGTR2;PPIG;PDE9A;ABCG2;KCNE1;ABCB1;SLC22A5;CNP;PSEN1;TXN;DPP4;GRK3;GRK2;GRK5;APOE;PCK1;MSC;TRPM4;FDPS;ACE;BDNF;CP;MANF;CS;SLC6A8;CYP11B2;PDE3A;NOX4;PIN1;GNB3;REN;CALR;OGT;NES;GSK3B;SLC2A1;PRKAG2;ATP2A2;ATP2A1;ADM;HMGB1;DBH;SLC2A4;SLC6A2;SLC6A4;CPT2;OPA1;ALDH2;UCN2;NNT;IDS;SCN5A;NOS1;POLK;MYBPC3;DSP;MYOCD;PARP1;ARG1;SLC2A10;CAD;ABCC6;AMPD1;HBA2;ABCC9;HBA1;OPRM1;NGF;SIRT1;SIRT3;ADORA2A;NDUFS6;TNNT2;CAT;NOS1AP;CASQ2;ANG;PDE5A;AVP;DNASE1;PPARA;FXN;MYH7;CRP;POLDIP2;UCP1;NEXN;ATP1A3;SLC3A2;RETN;SLC7A1;ADD1;PDC;INS;SLC25A26;ATP5F1A;PLN;POLR2A;UCP3;UCP2;LMNA;MFN2;DMD;XDH;KCNJ5;TCF7L2;NOS2;BAD;LUM;NOS3;ATP2B1;S100B;SOD2;AGT;TPCN2;APLN;TPCN1;PINK1;GATM;SCD;GPD1L;KCNK2;HCN2
Congestive heart failure	159/884	1.853305011878796E-34	3.6428563313489616E-31	0	0	2.8459533764820435	221.0478244953385	EPO;SLC8A1;SLN;PRKACG;CHEK2;NPPA;NAMPT;PDK4;ENPP1;SYBU;KCNH2;CAST;G6PD;S100A1;CYBB;ATP11A;SDHD;SDHB;PGF;ACE2;ACLY;PPA1;MAPKAPK2;AGTR1;SLC27A6;TFAM;AGTR2;PPIG;PDE9A;ABCG2;TPH2;KCNE1;ABCB1;SLC22A5;CNP;PSEN1;TXN;DPP4;GRK3;GRK2;GRK5;APOE;PCK1;MSC;TRPM4;FDPS;ACE;BDNF;AGXT2;CP;MANF;CS;SLC6A8;CTRL;CYP11B2;PDE3A;NOX4;PIN1;GNB3;REN;CALR;OGT;NES;ADA;GSK3B;SLC2A1;PRKAG2;ATP2A2;ATP2A1;ADM;HMGB1;DBH;SLC2A4;SLC6A2;SLC6A4;CPT2;OPA1;ALDH2;UCN2;NNT;IDS;SCN5A;NOS1;MYBPC3;DSP;MYOCD;PARP1;DCD;ARG1;SLC2A10;ABCC8;CAD;ABCC6;AMPD1;HBA2;ABCC9;HBA1;OPRM1;NGF;SIRT1;SIRT3;TRDN;ADORA2A;ADORA2B;NDUFS6;TNNT2;CAT;NOS1AP;CASQ2;ANG;PDE5A;AVP;DNASE1;PPARA;FXN;GAPDH;MYH7;CRP;SLC24A3;POLDIP2;KCNA3;UCP1;NEXN;ATP1A3;SLC3A2;RETN;SLC7A1;ADD1;PDC;INS;SLC25A26;ATP5F1A;PLN;POLR2A;UCP3;UCP2;LMNA;MFN2;DMD;XDH;KCNJ5;NOS2;BAD;LUM;NOS3;S100B;SOD2;AGT;TPCN2;APLN;TPCN1;PINK1;GATM;SCD;ADM2;GPD1L;CRAT;KCNK2;HCN2
Diabetes Mellitus, Non-Insulin-Dependent	233/1672	2.001435401632701E-32	3.278351187874364E-29	0	0	2.2049694143298404	160.93820025269832	APP;AQP9;AQP7;AQP2;LIPC;CHEK2;NAMPT;PDK4;SCN1B;PDK2;PDHX;ENTPD1;KCNK16;HNF1A;CEL;NISCH;ACE2;KEL;MTHFD1;HMBS;AGTR1;ACOT2;TXNIP;TFAM;AGTR2;CLOCK;ABCB1;RRAD;SLC22A2;SLC22A1;SLC5A1;TXN;SLC30A10;SLC5A2;SLC6A20;TRPM2;SI;APOE;HCRT;PCK1;HLA-DQA1;SLC19A2;TRPM4;HLA-DRB5;ACD;ACE;MTHFR;CP;REL;REN;ADA;MRS2;OGG1;PRKAG2;ADM;IDE;SLC6A2;SLC6A4;SLC22A12;HNF4A;CD38;CAMP;SLC2A11;PARP1;SLC2A10;GAA;PAX4;SLC39A10;SIRT6;HBA1;SIRT1;SIRT3;BACE1;PSMA6;BACE2;KCNU1;AVP;PPARA;HLA-DQB1;TOMM40;UCP1;KCNA3;UCP3;UCP2;LMNA;MFN2;DMD;STX4;PCNT;DISC1;BCHE;CDKN2B;GK;GCH1;CDKN2A;GAD1;GCK;AGT;PER2;PER1;MPHOSPH9;ATP5PO;SLC27A1;EPO;MPI;COMT;ADORA3;NPPA;ADORA1;ENPP1;SLC39A7;HADH;SLC39A1;SLC39A3;SLC30A7;SLC30A6;G6PD;SLC30A8;G6PC;SLC30A5;DIO2;CDKAL1;SLC30A1;CYBA;SDHB;PGF;ACLY;PHOSPHO1;SELENOS;SLC27A6;PPIG;TOX;PPIA;SLC27A4;ABCG2;COPA;SLC41A2;SLC41A1;CACNA1D;CACNA1C;PSEN1;CACNA1E;ACACB;SLC1A7;CPLX1;NEUROD1;DPP4;SLCO1B1;GRK2;NEUROD4;GRK5;SLCO1B3;MSC;DRD2;COX10;MPST;BDNF;AGXT2;WFS1;GOT2;ADA2;G6PC2;CDK5;CYP11B2;SLCO1A2;HLA-DRA;GNB3;OGT;GSK3B;SLC25A3;PDE3B;SLC2A1;ATP2A2;SLC2A2;MTR;DBI;HMGB1;TRH;SLC2A4;SLC2A5;OASL;DBP;ALDH2;NOS1;ABCC8;CAD;ATP6AP2;SORD;DARS2;OPRM1;APOA5;TRDN;DDAH1;OAS1;ADORA2B;DDAH2;CAT;NOS1AP;BPI;DNASE1;FXN;GAPDH;CRP;POLDIP2;ATP10A;SLC3A2;RETN;PDHB;PARL;ADD1;INS;PLN;OXCT1;IGF2BP2;KCNJ1;KCNJ3;KCNJ4;TUB;TCF7L2;KCNJ6;KCNJ10;KCNJ11;NOS2;KCNJ9;NOS3;BAD;KCNJ15;SOD2;TPCN2;PINK1;PC;SCD;PFKM
Alzheimer's Disease	257/1982	8.77662208341664E-31	1.2322377405116963E-27	0	0	2.051693085874133	141.99367003488726	CDA;APP;PANK2;AQP4;ENO1;ENO2;AQP1;LIPC;PNP;TDO2;CHEK2;FBXO2;ANK3;MTHFD1;AGTR1;TFAM;AGTR2;CLOCK;TPH2;GYPA;ABCB1;ABCB6;MAOB;SLC30A10;TRPM2;MAP2;SLC19A3;APOE;HCRT;PCK1;HMOX2;ABCA2;FIS1;HLA-DRB5;HLA-DRB4;ACE;EDEM2;EIF2AK3;EIF2AK2;MTHFR;EIF2AK4;CP;ATP4A;ADI1;OGDH;REN;CALR;ACHE;OGG1;ADM;IDE;SLC6A2;SLC6A3;SLC6A4;HNF4A;TSPO;CD38;PSD;SLC2A14;CLUH;SLC32A1;PARP1;SIRT5;SIRT1;SIRT3;BACE1;BACE2;GAL;SLC7A9;AVP;MAPT;PPARA;DLD;TOMM40;IDUA;ODC1;KCNA3;WAS;DLST;UNG;RHD;NPS;PURA;ATP5F1A;LMNA;MFN2;DMD;SLC17A7;CKB;BID;DISC1;LCMT1;BCHE;ATP5PF;ATP5PD;MOG;CDKN2A;SLC31A1;GAD1;NMNAT2;AGT;PER2;PER1;XK;TARDBP;OTC;EPO;MPI;CPOX;COMT;SLC8A1;PYCARD;RGS2;NPPA;LAMP2;HADH;PDE8B;PRND;SYBU;CAST;SLC30A6;CADPS2;SLC30A3;S100A1;SLC30A4;APLP1;TAP2;DIO2;CYBB;CDKAL1;SLC30A1;MAPKAPK2;PPIF;MAPKAPK5;AMPH;PPIG;ADNP;PPIB;PPIA;PPID;ABCG2;CNP;COX15;CHAT;ATP5MC2;SLC1A2;PSEN1;CPLX2;NTS;CPLX1;ATP5MC1;CACNA1G;DPP4;CALHM1;GRK2;MOBP;GRK5;BAG1;MBP;TPPP;DRD1;MSC;DRD2;DRD3;COX10;MARK2;MARK1;FDPS;PRNP;BDNF;EEF2;GFAP;SLC2A9;RCAN1;CDK5;NACA;CYP11B2;FES;HLA-DRA;PIN1;GNB3;TPP1;OGT;NES;GSK3B;CPQ;LRRK2;TAT;DYSF;SLC2A1;SLC40A1;OXT;MTR;SLC2A3;HMGB1;SLC2A4;DBH;PPP1R9B;SLC2A8;POLB;ATP7B;ALDH2;CA2;PDE4A;LBP;NOS1;ATP7A;POLG;ABCC4;MYOCD;ABCC1;TBP;ABCC9;NGF;APOA5;DNM1;GAP43;ADORA2A;DDAH1;CAT;NUMB;ANG;PDE5A;SLC25A4;FXN;GAPDH;MET;CRP;FOCAD;SLC24A4;POLDIP2;MVP;INS;SLC25A27;POLD1;SLC25A20;SNCB;SLC35A2;SLC35A1;NDUFA6;NOS2;NOS3;S100B;SOD2;WARS2;SLC25A38;SLC4A8;PINK1;REST;MARCKS;SUCLA2;PC;SCD;VIM;PDE7A;RAN;HCN1
nervous system disorder	98/436	4.1991233540731554E-29	5.1586230404788713E-26	0	0	3.5564975031935893	232.38187376674426	APP;EPO;SLC4A1;AQP4;SLC4A3;COMT;SCN1A;CAST;ARSA;POLG2;HPRT1;ABCG2;GCDH;ABCB1;ABCB6;MAOB;COX15;SLC1A2;CACNA1A;CACNA1D;SLC1A4;TXN;CACNA1F;CPLX2;NEUROD1;GRK2;APOE;HCRT;DRD2;NDUFV1;SLC19A1;ABCA2;PRNP;ACE;EIF2B2;BDNF;MTHFR;EIF2AK2;CP;GFAP;QDPR;GLUD1;GJB1;CDK5;TDP1;OGDH;REN;TPP1;ACHE;SLC2A1;ADAR;MTR;DBH;HMGB1;SLC6A3;SLC6A4;ATP7B;SPTLC1;OPA1;TSPO;NOS1;ABCD1;POLG;TBP;PARP1;SIRT5;PRPF40A;NGF;GAP43;NDUFS4;AVP;MAPT;ASPA;FXN;INA;HLA-DQB1;TOMM40;RNMT;KCNA3;ATP1A3;ATP1A2;TYMS;DISC1;KCNJ5;CDKN2B;GCH1;MOG;NOS2;NDE1;GAD1;SLC25A38;GALC;PINK1;REST;PDE10A;NMNAT1;PLP1;TARDBP
Diabetes Mellitus	208/1507	3.2609927096984493E-28	3.5610040389907063E-25	0	0	2.1839012876617976	138.21987892018032	APP;AQP4;ENO2;AQP2;AQP1;PCMT1;LIPC;NAMPT;PDK4;PDHX;ENTPD1;HNF1A;CEL;OPRPN;ACE2;AGTR1;TXNIP;TFAM;CLOCK;GYPA;ABCB6;SLC22A1;SLC5A1;TXN;SLC30A10;SLC5A2;SLC5A3;TRPM2;SI;APOE;HCRT;PCK1;HLA-DQA1;SLC19A2;ACE;DMPK;EIF2AK3;MTHFR;CP;GJB3;NOX4;REN;ADA;RPAIN;OGG1;PRKAG2;ADM;IDE;SLC6A2;SLC6A4;SLC22A12;UCN3;HNF4A;TSPO;CD38;PARP1;SLC2A10;GAA;SLC2A12;PAX4;HBA1;SLC35G1;SIRT1;BACE1;PSMA6;GAL;SLC7A9;AVP;MAPT;SLC29A1;PPARA;TKT;DLD;SLC29A3;VAMP2;HLA-DQB1;TOMM40;UCP1;KCNA3;KCNA5;SLC7A2;RHD;UCP3;UCP2;LMNA;DMD;STX4;PCNT;BCHE;ATP5PF;CDKN2B;GK;GCH1;CDKN2A;GAD1;GCK;AGT;PER1;GATM;EPO;COMT;SLC8A1;NPPA;ADORA1;ENPP1;PDE8B;CAST;G6PD;SLC30A8;G6PC;SLC30A3;S100A1;DIO2;CYBB;CDKAL1;SDHC;CYBA;PGF;SELENOS;PPIF;PPIG;SLC27A2;PPIA;PPID;ABCG2;KCNE1;CHAT;ACACB;NEUROD1;DPP4;GRK2;NEUROD4;MSC;SYT5;FN3K;AMBP;BDNF;WFS1;GOT2;GFAP;SLC2A9;G6PC2;CDK5;CYP11B2;PIN1;GNB3;OGT;GSK3B;UCN;SLC25A3;SLC2A1;ATP2A2;SLC2A2;HMGB1;SLC2A4;CA1;DBP;ALDH2;CA2;NOS1;POLK;SLC37A4;ABCC1;ABCC8;CAD;ATP6AP2;SORD;NGF;APOA5;ADORA2A;NDUFS7;ADORA2B;DDAH2;CAT;NOS1AP;PDE5A;DNASE1;FXN;GAPDH;CRP;POLDIP2;MVP;RETN;ADD1;INS;PLN;POLD1;SLC25A20;IGF2BP2;KCNJ1;KCNJ5;TCF7L2;DUT;KCNJ11;NOS2;KCNJ9;NOS3;ATP2B1;S100B;SOD2;TPCN2;APLN;PINK1;SUCLA2;PC;SCD;IMPDH2;RAN
Mitochondrial Diseases	88/384	7.362318323491316E-27	7.235686448327265E-24	0	0	3.626054852320675	218.1921311375979	PANK2;PARS2;NDUFA10;COX4I2;CPOX;MRPL3;ALDH2;CPT2;OPA1;NNT;MB;PDK4;SLC25A40;TK2;SLC39A8;DLAT;SLC25A42;PDK2;EARS2;SLC25A46;POLG;ATPAF2;ARSA;PDHX;PUS1;NDUFC2;DARS2;SDHC;SDHD;TRNT1;SDHA;SIRT1;SDHB;SIRT3;POLG2;NDUFS7;SCO2;COL4A1;NDUFS6;SLC25A19;NDUFS4;NDUFS1;SLC25A12;DLD;SLC25A4;ASPA;FXN;SLC25A6;SLC25A13;LIPT1;NDUFB9;NDUFB7;NDUFB6;COX15;MAPKAP1;NDUFB3;DLST;PDHB;SAMHD1;MFF;DGUOK;SLC25A26;PDPR;UCP2;SLC19A3;MFN2;NDUFV3;NDUFV2;NDUFV1;SLC25A22;COX10;SLC19A2;NDUFA6;PET100;NOS2;WFS1;NDUFA2;GATC;GATB;SOD2;WARS2;SLC25A38;GLUD1;GATM;SUCLA2;CDK5;TDP1;OGDH
