Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Primary microcephaly	87/116	5.440879328544246E-9	5.347296204093285E-5	0	0	1.5430511264273223	29.363221604564224	MRE11;GMNN;KIF14;MSMO1;KIF11;SMC3;BRCA2;IER3IP1;PQBP1;NIPBL;RTTN;EOMES;CEP135;CKAP2L;DDX11;ATRX;LIG4;KNL1;WDR73;SMC1A;TRAIP;ASPM;ZEB2;RAD51C;FANCD2;SLC25A19;WDFY3;DNA2;STAMBP;CEP63;MCPH1;BLM;RPL10;PNKP;WDR62;ORC4;TUBA3E;BRIP1;ORC6;SLX4;ORC1;RAD21;AGMO;RBBP8;POC1A;PCNT;ATRIP;NHEJ1;PLK4;FANCI;CDT1;TRMT10A;CREBBP;STIL;PHC1;PDHA1;XRCC4;FANCM;FANCL;TAF13;CEP152;NDE1;FANCA;DONSON;LARP7;FANCC;CDC6;FANCB;INO80;FANCE;PALB2;FANCG;FANCF;DIAPH1;CENPE;CENPF;CDK6;ERCC4;CENPJ;TUBGCP6;ERCC8;TUBGCP3;ERCC5;TUBGCP4;ERCC6;ZNF335;ATR
Fanconi Anemia	186/290	5.8569127549288654E-8	2.8780869277720444E-4	0	0	1.3195747563930205	21.974955102421852	RB1;DCLRE1B;APP;DCLRE1A;CSF2;MRE11;SCT;IKZF1;SLCO6A1;BACH1;ICAM1;GOLGA4;RPS19;KAT5;CDH1;CHEK1;STMN1;RUVBL1;GSTK1;DDX11;REV1;TAP2;ZBTB32;MUL1;HIC1;GABRG1;BCR;MSH6;SOAT1;MSH2;CCNE1;FANCD2;MSH3;TBPL1;PRTN3;DNA2;HPRT1;NEIL1;CBLL2;TP53;BLZF1;TELO2;SLC22A3;GYPA;BLM;PARPBP;NOTCH1;CTBP1;PRKDC;PRH2;GSTT1;TXN;PSEN1;MEFV;HIF1A;FHIT;FUT1;PRH1;NLN;BRIP1;CCNB1;CYP2B6;TP53BP1;ZBTB7A;FANCI;EGR1;XRCC6;SMAD4;GSTM1;XRCC4;HBG2;FANCM;FOXF1;XRCC5;FANCL;XRCC2;XRCC3;FANCA;MTHFR;EIF2AK2;FANCC;FANCB;FANCE;PRDX6;PALB2;FANCG;NFKB1;SMARCA4;GADD45G;FANCF;GH1;BCL6;UBE2T;CDK1;ATM;RAD18;ATR;TP73;YWHAE;MUS81;CDKN1A;CIITA;SLC25A3;WDR48;PHF1;MRPL36;BRCA2;BABAM1;UBL5;XPO1;MECOM;ALDH2;EXO1;HNF4A;MRC1;UIMC1;CD34;SPTAN1;CD33;ABCC4;HSP90AA1;MMP7;GPX4;TET2;PAX6;TERF2;NME1;DDB1;RNF168;RAD51D;RAD51C;ZEB1;IFNG;SETBP1;ELF4;IL1B;ALDH1A1;CAT;MCM4;TOP1;FAN1;PAFAH1B1;USP16;UHRF1;GSTP1;USP11;COL11A2;RNF8;FAAP24;TTK;AFP;PTGS2;RNF4;FAAP20;RELA;WRN;MAPK8;SLX4;POLD1;ERBB2;SPP1;USP1;E2F1;PMS2;HES1;SF3B1;ATF7IP;TIMM8A;NPM1;ATAD5;CENPX;BIK;MGMT;FAH;MLH1;SOD2;MAD2L2;ASXL1;WEE1;RAD50;RAD51;ERCC4;ERCC1;ERCC2;ERCC5;CENPS
Small head	339/570	8.28716189206855E-8	2.714874235841657E-4	0	0	1.223612472184473	19.952192162241282	RB1;SMARCAL1;NUP107;PGAP1;SMARCB1;CLPB;TP53RK;GORAB;EHMT1;RBPJ;SMC3;PEX26;SOX2;RPS6KA3;GJA1;NSDHL;RPS19;CLP1;CSPP1;RTTN;GJA8;CDON;PDHX;ALG9;COG6;SP110;DDX11;COG4;TINF2;SLC35C1;ALG3;SOX11;WDR73;ALG1;KNL1;ESCO2;HCFC1;BCR;GNPAT;POR;CLPP;YME1L1;FAR1;PRKD1;DNA2;TELO2;RTEL1;CTBP1;PRKDC;FOXG1;PEX11B;ARX;XPA;CDCA7;B3GLCT;GATA4;WDR62;OSGEP;DHX30;BRIP1;CYB5R3;TERT;ZNHIT3;RAD21;ALX4;ZNF148;ATRIP;NHEJ1;PLK4;CDT1;CREBBP;ACD;ACE;PHC1;XRCC4;BCL11A;XRCC2;EIF2AK3;MTHFR;LARP7;PYCR1;CDC6;ACADSB;SMARCA2;MYMK;SMARCA4;AIMP1;ALDH6A1;TBL2;GJB4;GJB3;PAH;REN;GTF2IRD1;ALDH18A1;FBXL4;ATR;CEP57;SETD5;GFM1;KIF14;SMG9;HCCS;CTCF;KIF11;BRCA2;IER3IP1;PHF6;PIGY;GLI2;PQBP1;MECP2;MED12;NIPBL;TUBA1A;OTUD6B;KIF1C;EPG5;PHGDH;IKBKG;DLAT;NANS;OFD1;ATPAF2;NSUN2;MRPS22;RIPK4;PAX6;HBA2;KIF23;HBA1;TUBG1;CIT;MED25;RAD51C;KIF2A;DPYD;FAM20C;CEP63;DLD;MOCS1;MATN4;FH;ZNF592;RPL10;SATB2;IBA57;TMEM70;PTS;SLX4;NSD2;PCNT;DCPS;PEX16;BCAP31;WWOX;TRMT10A;ARNT2;MBD5;PEX19;BRF1;ERCC6L2;NDE1;GAD1;PEX10;PEX12;PEX13;AGT;ADAT3;PEX14;MAD2L2;CENPE;CENPJ;KLHL7;PLP1;RLIM;MPLKIP;TRIP13;ZNF335;PTF1A;DPAGT1;CTNND2;GMNN;BUB1B;MSMO1;UBE3B;EFEMP2;HHAT;SALL1;TUBB3;POGZ;NARS2;SLC16A2;SBF1;ARID2;GTF2I;PUS3;CEP135;KDM2B;PUS1;VPS33B;LIG4;ALG13;LEMD3;TRAIP;THOC6;TUFM;DPM1;DKC1;FANCD2;TBL1XR1;KAT6A;NHP2;SBDS;XPR1;BLM;KMT2A;COX15;UBR1;SPATA5;GTF2E2;ORC4;EFNB1;ORC6;ORC1;NACC1;KDSR;VARS2;MPDU1;ZBTB18;FANCI;TFAP2A;SMAD4;STIL;PDHA1;FANCM;FANCL;ZBTB16;FANCA;FANCC;FANCB;FANCE;PALB2;AP4B1;FANCG;FANCF;DIAPH1;CDK6;UBE2T;TBCE;NF1;TUBGCP6;TCF4;TUBGCP4;NOP10;TUBA8;RERE;RBM28;SLC2A1;HMGB3;AP4M1;NADK2;FLCN;SIX6;ZIC2;SIN3A;SIX3;ITGB6;DGCR6;TAPT1;DGCR2;POLG;KDM6A;ITGA3;RFC2;CKAP2L;ATRX;PEX2;KCNAB2;PEX1;SMC1A;POMGNT1;ARID1B;ASPM;PEX7;CYP26C1;POLR1A;SLC25A19;PEX3;PEX6;CDH11;PEX5;RFT1;MCM4;MCPH1;MVK;BRAT1;PARN;KATNB1;MFF;LAGE3;USP18;IFT74;RNF113A;CDC45;PUF60;RBBP8;POC1A;BUB3;BUB1;SMARCE1;TBX1;SLC35A2;SLC35A3;NAA10;TAF13;CEP152;DONSON;ATP2B3;TBX4;MEIS2;ASXL1;RAD50;RAD51;SUCLA2;FRAS1;ERCC3;PSAT1;ERCC4;ERCC1;ERCC2;ERCC8;ERCC5;TAF6;BCOR;ERCC6;MMACHC;TAF2;MBTPS2
Turcot syndrome (disorder)	42/50	2.1173108698116257E-7	5.202232807127164E-4	0	0	1.728217261598601	26.559154434873708	MCM9;PTEN;IKZF1;PTGS2;TFPI;TYMS;HIF1A;MUC2;EPCAM;MRC1;PMS2;POLE;PMS1;MUC6;MUTYH;MBD4;TGFB1;CDX2;CDKN2A;MGMT;NR1H2;BRAF;PAX5;DICER1;BAAT;MLH1;FOXP3;MUC5AC;MLH3;CHFR;MSH6;MSH2;PIK3CA;APC;MSH3;ERCC1;SELENOP;NF1;BAX;KRAS;TP53;MAP3K11
Death in early childhood	76/104	3.134861994307187E-7	6.161884736010207E-4	0	0	1.5034857129291859	22.515466078762362	MESP2;WASHC5;ISCA2;GLDC;ITGB4;RMND1;LAMC2;LIPA;PEX26;PQBP1;GCSH;NADK2;EPG5;TSPYL1;COG6;MRPS22;VPS33B;AMT;PEX2;ALG1;PEX1;TUFM;DNM2;MSH6;DPM2;MSH2;PIK3CA;SCO2;ACOX1;PEX3;SLC25A19;PEX6;PIGA;PEX5;TFAM;ITGA6;FAN1;LIPT1;PRPS1;NAXE;BRAT1;PEX11B;ARX;ASCL1;TMEM70;DLL3;NRAS;EPCAM;PSAP;PMS2;PMS1;PEX16;CRTAP;PEX19;EIF2AK3;DOLK;PEX10;MLH1;PEX12;SUOX;PEX13;PEX14;MLH3;AIMP1;ASXL1;GLB1;ERCC1;KLHL7;ERCC2;CNTN1;ERCC5;KRAS;CCDC22;ERCC6;PTF1A;CRLF1
Death in infancy	75/103	4.755863163354078E-7	7.79010386157398E-4	0	0	1.4981078897352644	21.810529467156734	MESP2;WASHC5;GLDC;ITGB4;RMND1;LAMC2;LIPA;PEX26;PQBP1;GCSH;NADK2;EPG5;TSPYL1;COG6;MRPS22;VPS33B;AMT;PEX2;ALG1;PEX1;TUFM;DNM2;MSH6;DPM2;MSH2;PIK3CA;SCO2;ACOX1;PEX3;SLC25A19;PEX6;PIGA;PEX5;TFAM;ITGA6;FAN1;LIPT1;PRPS1;NAXE;BRAT1;PEX11B;ARX;ASCL1;TMEM70;DLL3;NRAS;EPCAM;PSAP;PMS2;PMS1;PEX16;CRTAP;PEX19;EIF2AK3;DOLK;PEX10;MLH1;PEX12;SUOX;PEX13;PEX14;MLH3;AIMP1;ASXL1;GLB1;ERCC1;KLHL7;ERCC2;CNTN1;ERCC5;KRAS;CCDC22;ERCC6;PTF1A;CRLF1
Multiple malignancy	118/176	5.379681087289213E-7	7.553072246554055E-4	0	0	1.3793941887759396	19.912198679611883	KDM1A;GLDC;CSE1L;CTNND1;PRDM2;CLU;ETS1;HOXA10;FOXQ1;STK11;CCND2;PTTG1;MYC;CHEK2;FAM110B;PITX2;ILF2;SOX10;PIAS1;NCL;PSME3;DDIT4;ERG;STEAP1;TP53;ABCG2;PSMD10;SLC22A3;CD274;BLM;ZNF395;CD151;PRKDC;RRAD;PTTG1IP;HIF1A;NDRG1;TERT;SLCO1B3;NACC1;APOB;MAP2K7;PROM1;MCL1;EGR1;SMAD4;ZBTB16;BRAF;NFKB1;QKI;SQLE;DAB2;SP1;TDP2;CDK2;CDK1;PIN1;SNAI2;TCF4;CLPTM1L;EZH2;NFE2L2;CDKN1A;SETD2;PTEN;SLC2A1;BHLHE41;SIX1;BMI1;FOXM1;GLI1;MED12;GLIPR1;ALDH2;TIMP3;GABPA;KLF10;PRMT5;HSP90AA1;RFC3;RING1;MMP1;NCOA3;MMP3;NME1;CCNA2;MMP12;CTTN;PIK3CA;ELF5;RARB;POT1;MET;CD44;U2AF1L5;NEDD9;TMPRSS2;TTK;U2AF1;AURKC;EGFR;RNF2;AURKB;AURKA;MAPK8;WRN;ERBB2;E2F1;FSD1;TCFL5;MBD2;DEK;USP28;RAD51;GLB1;RPS6KB2;KRAS;BCAR1
FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)	159/249	7.799501114824233E-7	9.58168711956157E-4	0	0	1.313762404829688	18.476801597935374	RB1;DCLRE1B;DCLRE1A;CSF2;MRE11;SCT;BACH1;ICAM1;GOLGA4;RPS19;KAT5;CDH1;CHEK1;STMN1;DDX11;REV1;TAP2;ZBTB32;MUL1;HIC1;GABRG1;BCR;MSH6;SOAT1;MSH2;MSH3;TBPL1;PRTN3;DNA2;HPRT1;NEIL1;CBLL2;TP53;TELO2;SLC22A3;GYPA;BLM;PARPBP;NOTCH1;CTBP1;XPA;PRH2;TXN;MEFV;HIF1A;FHIT;FUT1;SPTA1;NLN;BRIP1;CCNB1;CYP2B6;TP53BP1;ZBTB7A;FANCI;EGR1;XRCC6;SMAD4;XRCC4;FANCM;FOXF1;XRCC5;FANCL;XRCC2;FANCA;MTHFR;EIF2AK2;FANCC;FANCB;FANCE;PRDX6;PALB2;FANCG;NFKB1;SMARCA4;GADD45G;FANCF;GH1;BCL6;UBE2T;CDK1;ATM;RAD18;ATR;TP73;YWHAE;MUS81;CDKN1A;SLC25A3;WDR48;PHF1;BRCA2;BABAM1;UBL5;MECOM;ALDH2;EXO1;MRC1;UIMC1;CD34;CD33;HSP90AA1;MMP7;GPX4;TET2;PAX6;TERF2;NME1;RNF168;RAD51D;RAD51C;ZEB1;IFNG;SETBP1;IL1B;ALDH1A1;CAT;TOP1;FAN1;PAFAH1B1;DNAH8;UHRF1;USP11;COL11A2;RNF8;FAAP24;TTK;AFP;PTGS2;RNF4;FAAP20;RELA;WRN;MAPK8;SLX4;POLD1;ERBB2;SPP1;USP1;E2F1;PMS2;HES1;SF3B1;ATF7IP;TIMM8A;NPM1;ATAD5;CENPX;MGMT;FAH;MLH1;SOD2;WEE1;RAD50;RAD51;ERCC4;ERCC1;ERCC2;ERCC5
Xeroderma Pigmentosum	73/101	1.083293412824694E-6	0.001182956406804566	0	0	1.487032768702238	20.425145584559896	ZNF253;SYCP1;CETN2;OGG1;XYLT2;PTEN;GPT;MYC;CHEK1;ZNF569;HRAS;LBR;ZNF763;POLH;USP7;DDX11;RECQL;LIG4;TALDO1;RAD23A;WDR76;DDB2;PDIK1L;CAT;ZNF436;HPRT1;UBE2V1;TP53;MET;IRF9;RTEL1;RNF34;PRKDC;ODC1;PTAFR;XPA;XPC;TYMS;BRIP1;NRAS;MAPK8;SLX4;ZNF629;TDG;RREB1;DECR1;TIMM8A;POLQ;NPM1;GSTM1;ST13;CDKN2A;PTCH1;XRCC2;NR1H2;XRCC3;RPA1;XRCC1;BRAF;GTF2H1;GTF2H2;GTF2H3;GTF2H4;GTF2H5;ERCC3;CDK4;ERCC4;ERCC1;VEPH1;ERCC2;ERCC5;ERCC6;ATR
Hepatocarcinogenesis	310/527	1.18377357039778E-6	0.0011634126649869383	0	0	1.2102361775900567	16.515855039132365	TFRC;SERPINE1;ENO1;SLCO6A1;RPS6KA3;TCL1B;GJA1;TCL1A;RASSF1;PPP2R1A;MYC;PEG10;RASSF5;STMN1;TNFSF10;SOX7;TSPYL2;GSTK1;SCAF11;TINF2;CIRBP;DLEC1;HCFC2;RUNX3;SND1;HCFC1;MTAP;IFI27;SOAT1;PSME3;ETHE1;SUB1;TBPL1;TXNIP;CYP2E1;NUP98;CBLL2;ATF6;TP53;ZNF398;SLC22A3;PRKDC;ABCB4;HPN;TGFA;HIF1A;ADH5;MTDH;PRDX2;CYP2B6;HSPH1;TERT;PRDX1;TTPA;PROM1;RREB1;PLK4;EGR1;CREBBP;STARD13;XBP1;GSTM1;JUND;CADM1;FZD7;PLK1;SETD1A;SIAH1;FN1;EIF2AK2;MRPL28;STAM;SMARCA1;NR0B2;DCLK1;EIF1;SMARCA4;BHMT;GJB1;AKR1B10;PAH;EZH2;LGMN;TP73;ZNF253;COL18A1;CDKN1A;BTG2;SETD2;BTG1;CDKN1B;OGG1;SUV39H1;PTPRO;KIF14;AKR1B1;WFDC1;GPT;RSF1;BMI1;AREG;SPPL3;ING2;XPO1;ZMYM2;HNF4A;MRC1;IKBKG;CTSE;TMED7;HRAS;DLGAP5;GABPA;HTATIP2;ZHX2;RING1;ARG1;DUSP1;PGAM1;RIPK4;NME2;PAX5;SIRT7;TERF1;PTGR1;TERF2;POU5F1;MED23;ZEB2;CEACAM1;IL1B;PPARA;GRN;GSTP1;NR1I3;NR1I2;AFP;PTGS2;CCNDBP1;EGFR;PPP2CA;NRAS;RASSF10;WIF1;SPP1;MAP3K2;MBD4;WWOX;AOC1;CDKN2B;CDKN2C;SERPIND1;ATAD5;CDKN2A;MGMT;IFNB1;MBD2;NR1H4;GTF2H1;GTF2H2;GTF2H3;SULF1;GTF2H4;BLCAP;AGT;GTF2H5;GNMT;SULF2;APEX1;DLC1;CCNG1;PNPLA3;HDGF;CDKN3;RTL1;CSE1L;CTNND1;PEBP1;CIB1;AHR;CLU;ETS2;YY1;STK11;CCND2;PTTG1;CDH1;SALL4;ZNF569;ZNF689;PIM3;PITX1;ROS1;MAP3K7;MEN1;TPD52;MAP2K1;G6PD;MLIP;TLE1;G6PC;DIO3;MUL1;PRPF4B;CHD1L;MAT1A;HIC1;MSH6;NCL;ZNF436;UBE2V1;SQSTM1;NOTCH2;PSMD10;KHDRBS1;DNMT1;CUL7;NOTCH1;TSG101;NDRG1;FUT8;MCL1;SMAD2;TGFB1;CBX5;HSPA5;HSPA4;EPHX1;NFKB1;AICDA;SMAD7;NFKBIA;MOB1A;TFCP2;COPS5;CPS1;NAT2;ALB;CDK2;PIN1;SHBG;UGT1A;NFE2L2;NXT1;DDX3X;LECT2;FHL2;ILK;PIK3CB;FOXM1;TAZ;CKS1B;ALDH2;NUP62;DNMT3B;MYBL2;OIT3;ZNF763;DACT1;GPX2;EED;DNMT3A;CAD;CCNA2;FAM189B;PIK3CA;ACOX1;RASA1;CDH13;MET;SLC25A13;DCTN6;CEBPA;HPGD;HDAC1;SRF;LIN9;AURKA;DLL3;MUC1;MAPK8;MTA1;ZNF629;MAT2A;CCL4;ERBB2;E2F1;IGF2BP1;E2F2;HES1;IGF2BP2;FSD1;E2F5;IFNL3;HES5;E2F8;SPEN;KDM4B;URGCP;SSRP1;PTPN13;YY1AP1;CUL4A;KLF6;APC;MFAP1;ERCC3;ERCC2;BAX;BCAR1
