Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitochondrial Diseases	200/384	3.2793251468628985E-24	3.222920754336857E-20	0	0	1.8745126267170538	101.3631541646754	ISCA2;PANK2;PARS2;NFU1;LACTB;PDK3;MTERF1;MPV17;EARS2;PDK1;PDHX;BCS1L;LARS2;SCO1;SOAT1;SCO2;UQCRC1;TMEM126A;DNA2;UQCRC2;TMEM126B;LIPT2;LIPT1;AARS2;ABCB7;MAPKAP1;MRPL12;DGUOK;SLC19A3;PPARGC1A;ATG5;SLC19A2;TRAP1;CHKB;A1CF;NDUFAF6;NDUFAF4;NDUFAF5;OGDH;NDUFAF3;NDUFAF1;MRPS16;FASTKD2;HCCS;IER3IP1;FARS2;RPTOR;MRPL40;AIFM1;CHMP1B;TK2;DLAT;GGTLC3;ATPAF2;MRPS22;ACAD9;MRPS23;PAX6;MRPS7;SDHAF2;SDHAF1;MICU1;DLD;ECHS1;MRPS34;COX5B;NOL3;TMEM70;TYMP;UCP2;MFN2;PET100;MDH2;TPK1;PNPLA8;GATC;APTX;LRPPRC;LETM1;PDP1;GATM;PDP2;TRMT5;NDUFAB1;PNPLA4;NDUFA13;NDUFA11;NDUFA12;TACO1;NDUFA10;YARS2;TXN2;MPC1;NARS2;SLC25A40;SLC39A8;SLC25A42;GGT1;MTPAP;SLC25A46;GGT2;PUS1;SDHC;SDHD;TRNT1;SDHA;SDHB;PRPF6;POLG2;COL4A1;CARS2;NDUFB10;UQCRB;NDUFB11;NRF1;CYC1;NDUFV3;NDUFV2;NDUFV1;COX10;FGF21;DNAJC19;PDHA1;PNPT1;WFS1;TIMM44;COQ9;COQ6;COQ2;CDK5;UQCRQ;ACO2;COX4I1;COX4I2;TAZ;MTO1;MRPL3;NADK2;ALDH2;CPT2;IDH3B;DNM1L;POLG;CERS6;GLRX5;MARS2;TWNK;NDUFC2;DARS2;NDUFC1;DNM2;NDUFS8;RRM2B;NDUFS7;NDUFS6;SLC25A19;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A12;FXN;FBP2;SLC25A13;NDUFB9;NDUFB8;NDUFB7;CANT1;NDUFB6;NDUFB5;NDUFB4;NDUFB3;ETFDH;NDUFB2;PDHB;MFF;SLC25A26;NFS1;PDSS2;PDSS1;IARS2;SLC25A22;NDUFA9;NDUFA8;MGME1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;TXNRD1;NDUFA2;NDUFA1;SOD2;GDAP1;TRIT1;WARS2;SLC25A38;SUCLA2
Failure to gain weight	242/539	6.0918674825167866E-18	2.993543680908749E-14	0	0	1.615906394949558	64.05384595414856	ISCA2;PRSS1;SLC46A1;PRF1;SLC4A1;RBPJ;ABCA12;AQP2;NFU1;PNP;RPS19;MPV17;SIL1;EARS2;SLC34A3;ALG9;COG6;TINF2;MCCC1;TALDO1;ALG3;BCS1L;SCO1;TFAM;RBCK1;TMEM126B;GCDH;RTEL1;SLC22A5;AARS2;CTBP1;SLC5A1;ZMPSTE24;DYNC2LI1;DGUOK;PTDSS1;PNPO;ST3GAL5;GPIHBP1;CDT1;NUS1;ABCA3;LRBA;FUCA1;SLC10A2;PMM2;BRAF;CDC6;SMARCA2;EXT1;AIMP1;SPART;FAM111A;EXT2;OCLN;SLC6A8;TCN2;NDUFAF6;NDUFAF4;NDUFAF5;NDUFAF3;NDUFAF1;ADA;RET;IL21;FASTKD2;GBE1;ADK;SNX10;IKBKB;HRAS;ATPAF2;ACAD9;SLC39A13;HBA2;HBA1;BAAT;CIT;NME1;HADHB;SLC7A7;ALDOB;ASAH1;NFIX;GBA;ABCB11;EGFR;TMEM70;ATP5F1A;PLAGL1;LMNA;SLC17A5;MFN2;MGAT2;GABRD;CA12;PEX16;BCAP31;TIMMDC1;PEX19;PET100;CAVIN1;MDH2;GLYCTK;STAT3;PEX10;FAH;PEX12;LRPPRC;LETM1;GATM;RIT1;IGLL1;TRMT5;KLHL7;PLP1;PTF1A;RAB3GAP1;PNPLA1;TJP2;NEUROG3;DCLRE1C;NDUFA11;NDUFA12;TACO1;GMNN;MPI;NDUFA10;HIKESHI;YARS2;PPP1CB;RAG2;MAP3K7;SLC39A4;RAG1;MAP2K1;GPT2;PUS1;VPS33B;OCRL;SDHA;DPM1;SGO1;SCNN1G;SELENON;DKC1;SCNN1A;PKP1;CARS2;NOTCH2;FTO;NDUFB11;AK2;RAP1B;NACC1;DNAJC21;NDUFV2;NDUFV1;COX10;SMAD4;ATP8B1;HMGA2;RFXANK;DIAPH1;SON;G6PC3;AMACR;CPS1;GNB1;RFXAP;GNAS;ACO2;LHX4;IL7R;CIITA;SLC25A3;ITGB4;COX4I2;TAZ;MTO1;ALAD;MRPL3;NADK2;FLCN;ATP7B;CA2;DNM1L;POLG;CERS3;PEX2;KCNAB2;PEX1;SLC25A15;ZAP70;PPM1B;NDUFS8;RRM2B;NDUFS7;LCK;ACOX1;NDUFS6;PEX3;PEX6;TMEM216;PCCB;NDUFS4;PEX5;RFT1;NDUFS3;NDUFS2;NDUFS1;AGXT;MCTP2;B4GALT7;SLC25A13;NDUFB9;GALT;NDUFB3;SLC3A1;IL2RG;CDC45;KCNJ1;SLC25A24;NDUFA9;KCNJ6;KCNJ10;EFL1;NDUFA2;SLC12A1;NDUFA1;ASS1;SUGCT;ASXL1;GALC;SUCLA2;ERCC3;ERCC4;ERCC2;ERCC5;KRAS;VPS45;ERCC6
Undergrowth	238/529	8.483260569388218E-18	2.7791161625315802E-14	0	0	1.619238733279064	63.64974340616582	PRSS1;SLC46A1;PRF1;SLC4A1;RBPJ;ABCA12;AQP2;NFU1;PNP;RPS19;MPV17;SIL1;EARS2;SLC34A3;ALG9;COG6;TINF2;MCCC1;TALDO1;ALG3;BCS1L;SCO1;TFAM;RBCK1;TMEM126B;GCDH;RTEL1;SLC22A5;AARS2;CTBP1;SLC5A1;ZMPSTE24;DYNC2LI1;DGUOK;PTDSS1;PNPO;ST3GAL5;GPIHBP1;CDT1;NUS1;ABCA3;LRBA;FUCA1;SLC10A2;PMM2;BRAF;CDC6;SMARCA2;EXT1;AIMP1;FAM111A;EXT2;OCLN;SLC6A8;TCN2;NDUFAF6;NDUFAF4;NDUFAF5;NDUFAF3;NDUFAF1;ADA;RET;IL21;FASTKD2;GBE1;ADK;SNX10;IKBKB;HRAS;ATPAF2;ACAD9;SLC39A13;HBA2;HBA1;BAAT;CIT;NME1;HADHB;SLC7A7;ALDOB;ASAH1;NFIX;GBA;ABCB11;EGFR;TMEM70;ATP5F1A;PLAGL1;LMNA;SLC17A5;MGAT2;GABRD;CA12;PEX16;BCAP31;TIMMDC1;PEX19;PET100;CAVIN1;MDH2;GLYCTK;STAT3;PEX10;FAH;PEX12;LRPPRC;LETM1;GATM;RIT1;IGLL1;TRMT5;KLHL7;PLP1;PTF1A;RAB3GAP1;PNPLA1;TJP2;NEUROG3;DCLRE1C;NDUFA11;NDUFA12;TACO1;GMNN;MPI;NDUFA10;HIKESHI;YARS2;PPP1CB;RAG2;MAP3K7;SLC39A4;RAG1;MAP2K1;GPT2;PUS1;VPS33B;OCRL;SDHA;DPM1;SGO1;SCNN1G;SELENON;DKC1;SCNN1A;PKP1;CARS2;NOTCH2;FTO;NDUFB11;AK2;RAP1B;NACC1;DNAJC21;NDUFV2;NDUFV1;COX10;SMAD4;ATP8B1;HMGA2;RFXANK;SON;G6PC3;AMACR;CPS1;GNB1;RFXAP;GNAS;ACO2;LHX4;IL7R;CIITA;SLC25A3;ITGB4;COX4I2;TAZ;MTO1;ALAD;MRPL3;NADK2;FLCN;ATP7B;CA2;DNM1L;POLG;CERS3;PEX2;KCNAB2;PEX1;SLC25A15;ZAP70;PPM1B;NDUFS8;RRM2B;NDUFS7;LCK;ACOX1;NDUFS6;PEX3;PEX6;TMEM216;PCCB;NDUFS4;PEX5;RFT1;NDUFS3;NDUFS2;NDUFS1;AGXT;MCTP2;B4GALT7;SLC25A13;NDUFB9;GALT;NDUFB3;SLC3A1;IL2RG;CDC45;KCNJ1;SLC25A24;NDUFA9;KCNJ6;KCNJ10;EFL1;NDUFA2;SLC12A1;NDUFA1;ASS1;SUGCT;ASXL1;GALC;SUCLA2;ERCC3;ERCC4;ERCC2;ERCC5;KRAS;VPS45;ERCC6
Leukodystrophy	114/204	2.4590365245527045E-17	6.041852740825994E-14	0	0	2.011241783018768	76.91828666788051	ISCA2;NDUFA11;TACO1;PRF1;MLC1;PLB1;NFU1;ZFYVE26;SCP2;DAG1;MPV17;SLC16A2;EARS2;NKX6-2;OCRL;BCS1L;SDHA;SDHB;EEF1A1;MAG;TYROBP;SCO1;POLG2;SCO2;COL4A1;HMBS;SLC27A6;TMEM126B;AARS2;ABCB6;STXBP2;DGUOK;PRDX5;GJC2;RNF216;VPS11;NDUFV2;NDUFV1;COX10;EIF2B5;EIF2B4;EIF2B3;EIF2B2;FUCA1;EIF2AK4;COQ9;EIF2S2;AIMP1;SPART;OCLN;COQ2;GJB1;NDUFAF4;NDUFAF5;PPT1;NDUFAF3;NDUFAF1;MRPS16;GBE1;IFIH1;NADK2;ATP7B;AIFM1;ATP7A;EIF2B1;ABCD1;POLG;ATPAF2;PLEKHG2;GLRX5;TWNK;DARS2;PEX1;FAM126A;YWHAZ;NDUFS8;NPC1;RRM2B;NDUFS7;ACOX1;NDUFS6;PEX3;PEX6;SDHAF1;NDUFS4;NDUFS3;TMEM106B;NDUFS2;NDUFS1;L2HGDH;SLC25A12;NDUFB9;NDUFB3;ETFDH;PDXP;TYMP;SLC17A5;D2HGDH;SLC13A5;BCAP31;TIMMDC1;NDUFA2;NDUFA1;PEX10;PEX12;GTF2H5;GALC;SUCLA2;ERCC3;GLB1;ERCC2;PLP1;ERCC8;ERCC6
Pediatric failure to thrive	241/543	3.944682525164449E-17	7.75366797146324E-14	0	0	1.5973747378167864	60.3353646725328	PRSS1;SLC46A1;PRF1;SLC4A1;RBPJ;ABCA12;AQP2;NFU1;PNP;RPS19;MPV17;SIL1;EARS2;SLC34A3;ALG9;COG6;TINF2;MCCC1;TALDO1;ALG3;BCS1L;SCO1;TFAM;RBCK1;TMEM126B;GCDH;RTEL1;SLC22A5;AARS2;CTBP1;SLC5A1;ZMPSTE24;DYNC2LI1;DGUOK;PTDSS1;PNPO;ST3GAL5;APOB;GPIHBP1;CDT1;NUS1;ABCA3;LRBA;FUCA1;SLC10A2;PMM2;BRAF;CDC6;SMARCA2;EXT1;AIMP1;FAM111A;EXT2;OCLN;SLC6A8;TCN2;NDUFAF6;NDUFAF4;NDUFAF5;NDUFAF3;NDUFAF1;ADA;RET;IL21;HIP1;FASTKD2;GBE1;ADK;SNX10;IKBKB;MRC1;HRAS;ATPAF2;ACAD9;SLC39A13;HBA2;HBA1;BAAT;CIT;NME1;HADHB;SLC7A7;ALDOB;ASAH1;NFIX;GBA;ABCB11;EGFR;TMEM70;ATP5F1A;PLAGL1;LMNA;SLC17A5;MGAT2;GABRD;CA12;PEX16;BCAP31;TIMMDC1;PEX19;PET100;CAVIN1;MDH2;GLYCTK;STAT3;PEX10;FAH;PEX12;LRPPRC;LETM1;GATM;RIT1;IGLL1;TRMT5;KLHL7;PLP1;PTF1A;RAB3GAP1;PNPLA1;TJP2;NEUROG3;DCLRE1C;NDUFA11;NDUFA12;TACO1;GMNN;MPI;NDUFA10;HIKESHI;YARS2;PPP1CB;RAG2;MAP3K7;SLC39A4;RAG1;MAP2K1;GPT2;PUS1;VPS33B;OCRL;SDHA;DPM1;SGO1;SCNN1G;SELENON;DKC1;SCNN1A;PKP1;CARS2;NOTCH2;FTO;NDUFB11;AK2;RAP1B;NACC1;DNAJC21;NDUFV2;NDUFV1;COX10;SMAD4;ATP8B1;HMGA2;RFXANK;SON;G6PC3;AMACR;CPS1;GNB1;RFXAP;GNAS;ACO2;LHX4;IL7R;CIITA;SLC25A3;ITGB4;COX4I2;TAZ;MTO1;ALAD;MRPL3;NADK2;FLCN;ATP7B;CA2;DNM1L;POLG;CERS3;PEX2;KCNAB2;PEX1;SLC25A15;ZAP70;PPM1B;NDUFS8;RRM2B;NDUFS7;LCK;ACOX1;NDUFS6;PEX3;PEX6;TMEM216;PCCB;NDUFS4;PEX5;RFT1;NDUFS3;NDUFS2;NDUFS1;AGXT;MCTP2;B4GALT7;SLC25A13;NDUFB9;GALT;NDUFB3;SLC3A1;IL2RG;CDC45;KCNJ1;SLC25A24;NDUFA9;KCNJ6;KCNJ10;EFL1;NDUFA2;SLC12A1;NDUFA1;ASS1;SUGCT;ASXL1;GALC;SUCLA2;ERCC3;ERCC4;ERCC2;ERCC5;KRAS;VPS45;ERCC6
Decreased tendon reflex	106/195	4.144983681415243E-15	6.789483270158168E-12	0	0	1.9564144091766908	64.79033641258081	NDUFA11;TBK1;NAGLU;MPZ;SCN9A;DAG1;SNIP1;MPV17;MTPAP;SBF2;SLC25A46;PHYH;SZT2;SLC5A7;SELENON;COL4A1;TMEM126B;SQSTM1;FLII;NDRG1;TMEM240;PIK3R5;DGUOK;KLC2;CACNA1S;NDUFV2;NDUFV1;ABCA1;B3GALNT2;PNPT1;SYT2;TGFB3;SLC52A2;PMM2;SLC52A3;NEB;TBCK;GJB1;B4GAT1;SYNJ1;WNK1;NDUFAF4;NDUFAF5;NDUFAF3;NDUFAF1;ACO2;TUBA8;LYST;BICD2;HK1;SPTLC1;NEFL;KIF1B;KIF1A;ATP7A;POLG;SCYL1;TPI1;ELOVL4;KCND3;ATP6AP2;TWNK;VPS13A;DARS2;PEX2;PEX1;POMGNT2;POMGNT1;DNM2;INF2;NDUFS6;DNAJC6;SLC25A19;NDUFS4;PEX5;NDUFS3;NDUFS2;NDUFS1;PIGG;RAB7A;NDUFB9;NDUFB3;FGD4;LMNA;MFN2;IARS2;FLNC;FKTN;DYNC1H1;WWOX;MGME1;TIMMDC1;FKRP;NDUFA1;KCNJ18;PEX12;APTX;GDAP1;FIG4;SUCLA2;SNX14;TRMT5;ERCC2;PMP22;PNPLA6;ERCC6
Acidosis, Lactic	99/183	4.9640823388379246E-14	6.969571603728447E-11	0	0	1.9470347545703695	59.64539033433201	NDUFA11;NDUFA12;TACO1;NDUFA10;YARS2;NFU1;RPS6KA3;MPC1;MPV17;MLYCD;EARS2;PDHX;PUS1;BCS1L;SDHA;PRKAB1;LARS2;SCO1;SCO2;SRSF2;TFAM;TXNIP;TMEM126B;ATF4;LIPT1;AARS2;UQCRB;NDUFB11;DGUOK;CYC1;NDUFV2;NDUFV1;PPARGC1A;COX10;PDHA1;HSPA5;COQ9;COQ2;NDUFAF6;UQCRQ;NDUFAF4;NDUFAF5;NDUFAF3;RNPS1;NDUFAF1;SLC25A3;MRPS16;FASTKD2;MTO1;FARS2;TK2;DLAT;SLC37A4;DNM1L;POLG;BCKDHA;ATPAF2;MRPS22;BCKDHB;ACAD9;HADHB;PPM1B;NDUFS8;RRM2B;NDUFS7;NDUFS6;SLC25A19;NDUFS4;PCCB;NDUFS3;NDUFS2;NDUFS1;ALDOB;DLD;MET;NDUFB9;PRKAA2;SLC47A1;NDUFB3;SLC3A1;PDHB;TMEM70;TYMP;PHKG2;NDUFA9;TIMMDC1;NDUFA5;PET100;TPK1;PNPLA8;TXNRD1;NDUFA2;NDUFA1;ATP5F1E;LRPPRC;GSTZ1;PDP1;PC;SUCLA2
Nystagmus	215/500	1.109982519318909E-13	1.3636135249832797E-10	0	0	1.5475976246175995	46.1636949256649	SMARCB1;TRAF3IP1;IFT172;XYLT2;CISD2;GBA2;GNAT2;CLP1;MPV17;SIL1;EYS;PRKCG;COG4;TINF2;BCS1L;ANK1;PRKD1;TMEM126B;SLC45A2;AARS2;ABCB7;CTBP1;B3GLCT;PIK3R5;TTBK2;DGUOK;PRDX5;BLOC1S6;GJC2;RNF216;RDH12;INPP5E;SLC19A3;ALX4;SLC19A1;SLC19A2;PLK4;TOE1;XRCC4;ABCA4;PMM2;SLC33A1;NR2F1;BRAF;BBIP1;SMARCA4;SETX;EXT2;OCLN;NDUFAF6;NDUFAF4;NDUFAF5;MKS1;NDUFAF3;ATM;NDUFAF1;FOXE3;PIGT;SLC7A14;SNX10;LYST;DLAT;PCYT1A;ELOVL4;ELOVL5;PAX6;SDHAF1;L2HGDH;MOCS1;DNASE1L3;SLC29A3;OCA2;CRB1;ASAH1;FOXC1;ECHS1;NFIX;ATP5F1A;RHO;SLC17A5;EXOSC3;PEX16;TIMMDC1;PEX19;PEX10;PEX12;LETM1;PDP1;KLHL7;ALMS1;PLP1;PRPF31;PNPLA6;NDUFA11;NDUFA12;NDUFA10;BUB1B;HIKESHI;YARS2;TUBB3;NARS2;NEK2;SLC39A8;MTPAP;ARID2;MAP2K1;PHYH;MAP2K2;CASK;OCRL;SDHD;RPGRIP1L;SDHA;LZTFL1;DPM1;PRPF4;MAG;PRPF6;SLC9A6;FRMD7;TMEM138;MAK;PRPF3;SQSTM1;ARL6;NDUFB11;CABP4;TNFRSF11A;CACNA1F;NDP;SLC38A8;NDUFV2;NDUFV1;COX10;IMPG2;WFS1;HPS1;SLC4A11;EEF2;TMEM231;COQ2;EIF2S3;PRPH2;GNB1;GNAS;ACO2;RPGR;NADK2;ZNF408;IDH3B;POLG;ADSL;GLRX5;TWNK;ARHGEF18;DARS2;PEX2;PEX1;ARID1A;POMGNT1;RP1;NDUFS8;NDUFS7;RP2;ACOX1;NDUFS6;PEX3;PEX6;TMEM216;NDUFS4;PEX5;NDUFS3;NDUFS2;ZNF513;NDUFS1;FXN;NDUFB9;PRPS1;PRCD;NDUFB3;ATP1A3;PDXP;ATP1A2;TULP1;ADD3;NT5C2;ARL13B;SH3TC2;IARS2;PDE6B;VHL;SLC25A24;NDUFA9;SMARCE1;TUB;SLC35A2;LIM2;PDE6G;KCNJ13;NDUFA2;NDUFA1;LCA5;GALC;ERCC3;IMPDH1;ERCC4;ERCC1;ERCC2;RAB18;ERCC8;ERCC5;KRAS;ATP13A2;ERCC6;SLC24A5
Cognitive delay	370/966	2.507433789284144E-13	2.7381176978982854E-10	0	0	1.3785235714490631	39.99696038604139	APP;PANK2;SLC46A1;PGAP1;SMARCB1;PGAP2;TRAF3IP1;PRF1;CRKL;NFU1;SYNGAP1;CLP1;PPP2R1A;DAG1;MLYCD;MPV17;SLC12A6;SIL1;EARS2;MFSD2A;PDHX;ALG9;COG6;COG4;TINF2;MCCC1;COG2;ALG3;COG1;EBF3;BCS1L;ANK1;SCO1;PRKAR1A;SCO2;FAR1;SIK1;TMEM126B;PRKD1;DNA2;LINS1;GNE;LIPT1;RTEL1;ABCB7;CTBP1;FLII;CDCA7;B3GLCT;SLC5A5;BRIP1;PTDSS1;GJC2;INPP5E;PNPO;ST3GAL5;ALX4;ZNF148;TOE1;B3GALNT2;PLK4;NUS1;XRCC4;FUCA1;XRCC2;PMM2;SLC33A1;NR2F1;EIF2AK3;MTHFR;BRAF;SMARCA2;ACADSB;SMARCA4;AIMP1;SPART;FAM111A;EXT2;POLA1;ALDH6A1;OCLN;TG;SLC6A8;B4GAT1;NDUFAF6;MYO5B;NDUFAF4;NDUFAF5;OGDH;PPT1;MKS1;NDUFAF3;NDUFAF1;CDK13;RET;GABRB1;PIGT;GDI1;FASTKD2;KIF14;ADK;KIF11;PIGW;BRCA2;IER3IP1;LYST;FARS2;IFIH1;ARV1;UFD1;ACADM;KIF1A;DLAT;HRAS;ATPAF2;TPI1;ARG1;PAX6;AMPD2;TUBG1;FAM126A;CIT;HADHB;KIF2A;PAX8;PIGG;KPTN;DLD;DDR2;ECHS1;GBA;TMEM70;PTS;PLAGL1;LMNA;SLC17A5;PCNT;EXOSC3;GABRD;DUOX2;JAM3;PEX16;BCAP31;WWOX;PEX19;TIMMDC1;GK;PET100;GCH1;MDH2;NDE1;GLYCTK;STAT3;PEX10;PEX12;LRPPRC;LETM1;MAD2L2;FIG4;PDP1;GATM;NFIA;SNX14;KLHL7;TRMT5;ALMS1;PLP1;CTNNB1;RAB3GAP2;RAB3GAP1;NDUFA11;ZBTB24;NDUFA12;TACO1;NDUFA10;BUB1B;HIKESHI;TXN2;PPP1CB;CCND2;TUBB3;MPC1;LAMP2;SNIP1;SLC39A8;ARID2;PSPH;SLC25A46;PUS3;MAP2K1;SZT2;MAP2K2;VPS33A;GPT2;VPS33B;CASK;SDHC;FRMD4A;OCRL;SDHD;RPGRIP1L;TRNT1;SDHA;SDHB;LZTFL1;DPM2;MAG;SLC9A6;TBC1D20;DKC1;COL4A1;FANCD2;TMEM138;EEF1A2;TBC1D24;CARS2;FTO;KLHL15;GLIS3;SLC1A4;TNFRSF11A;TMEM240;ACAT2;NACC1;DNAJC21;NPHP3;NDUFV2;NDUFV1;COX10;ZBTB18;FANCI;SMAD4;PDHA1;FANCM;FANCL;IDH2;FANCA;TBCD;HMGA2;B3GALT6;FANCC;COQ9;PALB2;FANCG;TMEM231;FANCF;GNAO1;SON;CDK6;EIF2S3;CPS1;CDK5;DLG3;UQCRQ;GNB1;TBCE;NF1;LHX4;SLC26A4;TUBA8;SLC25A1;B4GALT1;COX4I2;HMGB3;MTO1;MFSD8;MRPL3;NADK2;FLCN;CA2;ZIC1;PGM3;ATP7A;DNM1L;DIS3L2;POLG;POU1F1;ADSL;PROP1;MARS2;TWNK;VPS13B;VPS37A;PEX2;PPP2R5D;PEX1;KCNAB2;ARID1A;POMGNT2;POMGNT1;SLC25A15;PPM1B;NDUFS8;NPC1;ACOX2;NDUFS7;ACOX1;NDUFS6;PEX3;PEX6;TMEM216;PCCB;NDUFS4;PEX5;RFT1;NDUFS3;NDUFS2;MCM4;NDUFS1;MAN1B1;SLC25A12;NAT8L;MCTP2;B4GALT7;NDUFB9;PRPS1;BRAT1;NDUFB3;USH1C;SLC3A1;ATP1A3;PPM1D;MFF;ADD3;CBL;NT5C2;SLC25A26;CDC45;ARL13B;MAPK1;D2HGDH;SLC25A20;BUB3;CNNM2;SLC13A5;KCNJ1;SEC23B;SLC25A22;BUB1;SH2B1;FKTN;NDUFA9;SMARCE1;SLC35A2;ARFGEF2;SLC12A5;KCNJ10;SLC35A3;FKRP;MBOAT7;EFL1;NDUFA2;SLC12A1;NDUFA1;DDHD2;SYT14;SUOX;ASS1;RPIA;ASXL1;PC;SUCLA2;RAD51;ERCC3;ERCC4;ERCC1;ERCC2;RAB18;ERCC5;KRAS
Generalized hypotonia	259/633	3.3751059786367787E-13	3.3170541558042264E-10	0	0	1.4726029052351601	42.28900193831788	SLC46A1;SMARCB1;PGAP2;GLDC;PRF1;RPS6KA3;SYNGAP1;PNP;PPP2R1A;DAG1;MPV17;MLYCD;SLC12A6;SIL1;MFSD2A;SLC34A3;ALG9;COG4;SLC35C1;MCCC1;EBF3;BCS1L;SLC5A7;RNF125;SCO1;SCO2;ACOT1;FAR1;HPRT1;PRKD1;TMEM126B;LINS1;GNE;GCDH;SLC22A5;CTBP1;STXBP1;DGUOK;PTDSS1;INPP5E;ST3GAL5;ZNF148;TOE1;NUS1;PMM2;SLC33A1;BRAF;ACADSB;SMARCA4;EXT2;ALDH6A1;SLC6A8;NDUFAF6;WNK1;NDUFAF4;NDUFAF5;OGDH;PPT1;MKS1;NDUFAF3;FAT4;NDUFAF1;CDK13;RET;GABRB1;PIGT;GDI1;FASTKD2;GBE1;ADK;FARS2;IFIH1;ARV1;ATIC;TUBA1A;KCNT1;AIFM1;ACADL;TK2;ACADM;KIF1A;ATPAF2;TPI1;SLC2A10;GAA;MRPS22;ACAD9;HADHB;ZEB2;SLC7A7;PAX8;PIGL;PIGG;KPTN;DLD;DDR2;ECHS1;NFIX;TMEM70;NRAS;ATP5F1A;SLC17A5;MGAT2;EXOSC3;PEX16;TIMMDC1;PEX19;PET100;TPK1;PNPLA8;PEX12;LRPPRC;LETM1;FIG4;PDP1;NFIA;SNX14;TRMT5;PLP1;CTNNB1;RAB3GAP1;PNPLA2;NDUFA11;NDUFA12;TACO1;MPI;NDUFA10;ZBTB20;BUB1B;HIKESHI;PLOD1;TXN2;PPP1CB;MPC1;MPZ;SCN9A;NARS2;SNIP1;SLC39A8;SLC25A46;PUS3;SZT2;GPT2;VPS33B;CASK;THOC2;RPGRIP1L;TRNT1;SDHA;DPM1;SELENON;SLC9A6;SLC1A4;ACAT2;ACACA;NACC1;DNAJC21;NDUFV2;NDUFV1;MORC2;COX10;STRA6;EIF2B5;ZBTB18;EIF2B4;EIF2B3;EIF2B2;PDHA1;NONO;SLC52A2;GFPT1;PHKB;B3GALT6;COQ9;MLXIPL;SON;EIF2S3;SYNJ1;DLG3;UQCRQ;GNB1;ACO2;ABCD4;B4GALT1;MTO1;LMOD3;ALAD;FLCN;SPRED1;CPT2;TRPS1;ZIC1;PGM3;ACP2;EIF2B1;DNM1L;POLG;BCKDHA;ADSL;POU1F1;MARS2;BCKDHB;TWNK;VPS13B;PPP2R5D;PEX2;PEX1;ARID1A;POMGNT2;POMGNT1;DNM1;DNM2;SLC25A15;NDUFS8;NPC1;RRM2B;NDUFS7;NDUFS6;PEX3;PEX6;TMEM216;NDUFS4;PEX5;RFT1;NDUFS3;NDUFS2;NDUFS1;NAT8L;FBP1;B4GALT7;NDUFB9;PRPS1;CANT1;NDUFB3;PDHB;PPM1D;CBL;ARL13B;PHKG2;PCBD1;D2HGDH;SLC25A20;SLC13A5;FKTN;NDUFA9;SLC35A2;ARFGEF2;KCNJ10;SLC35A3;MBOAT7;EFL1;NDUFA2;NDUFA1;SUOX;ASXL1;PC;SUCLA2;PMP22;ERCC6
